😀	विस्मयमानं मुखम्
👲🏿	चीनी टोपीयुक्तः पुरुषः : कृष्णत्वक्स्वरः
🧕	शिरःपट्टधारिणी स्त्री
🧕🏻	शिरःपट्टधारिणी महिला : हल्के त्वचास्वरः
🧕🏼	शिरःपट्टयुक्ता महिला : मध्यम-लघुत्वक्-वर्णः
🧕🏽	शिरःपट्टधारिणी महिला : मध्यमत्वक्वर्णः
🧕🏾	शिरःपट्टधारिणी महिला : मध्यम-कृष्णत्वक्-वर्णः
🧕🏿	शिरःपट्टधारिणी महिला : कृष्णत्वक्स्वरः
🧔	दाढ्ययुक्तः व्यक्तिः
🧔🏻	दाढ्ययुक्तः व्यक्तिः लघुत्वक्स्वरः
🧔🏼	दाढ्ययुक्तः व्यक्तिः मध्यम-हल्का त्वचावर्णः
🧔🏽	दाढ्ययुक्तः व्यक्तिः मध्यमत्वक्वर्णः
🧔🏾	दाढ्ययुक्तः व्यक्तिः मध्यम-कृष्णत्वक्-वर्णः
🧔🏿	दाढ्ययुक्तः व्यक्तिः कृष्णत्वक्स्वरः
👱	गोरा केशः व्यक्तिः
👱🏻	गोरा केशः व्यक्तिः लघुत्वक्स्वरः
👱🏼	गोरा केशः : मध्यम-हल्के त्वचास्वरः
👱🏽	गोरा केशः : मध्यमत्वक्स्वरः
👱🏾	गोरा-केशः : मध्यम-कृष्णत्वक्-वर्णः
👱🏿	गोरा केशः : कृष्णत्वक्स्वरः
👱‍♂️	गोरा केशः पुरुषः
👱‍♂	गोरा केशः पुरुषः
👱🏻‍♂️	गोरा केशः पुरुषः लघुत्वक्स्वरः
👱🏻‍♂	गोरा केशः पुरुषः लघुत्वक्स्वरः
👱🏼‍♂️	गोरा केशः पुरुषः मध्यम-लघुत्वक्-वर्णः
👱🏼‍♂	गोरा केशः पुरुषः मध्यम-लघुत्वक्-वर्णः
👱🏽‍♂️	गोरा केशः पुरुषः मध्यमत्वक्स्वरः
👱🏽‍♂	गोरा केशः पुरुषः मध्यमत्वक्स्वरः
👱🏾‍♂️	गोरा-केशः पुरुषः मध्यम-कृष्णत्वक्-वर्णः
👱🏾‍♂	गोरा-केशः पुरुषः मध्यम-कृष्णत्वक्-वर्णः
👱🏿‍♂️	गोरा केशः पुरुषः कृष्णत्वक्स्वरः
👱🏿‍♂	गोरा केशः पुरुषः कृष्णत्वक्स्वरः
👱‍♀️	गोरा केशाः स्त्री
👱‍♀	गोरा केशाः स्त्री
👱🏻‍♀️	गोरा केशः स्त्री : हल्के त्वचास्वरः
👱🏻‍♀	गोरा केशः स्त्री : हल्के त्वचास्वरः
👱🏼‍♀️	गोरा-केशः स्त्री : मध्यम-लघुत्वक्-वर्णः
👱🏼‍♀	गोरा-केशः स्त्री : मध्यम-लघुत्वक्-वर्णः
👱🏽‍♀️	गोरा-केशः स्त्री : मध्यमत्वक्-वर्णः
👱🏽‍♀	गोरा-केशः स्त्री : मध्यमत्वक्-वर्णः
👱🏾‍♀️	गोरा-केशः स्त्री : मध्यम-कृष्णत्वक्-वर्णः
👱🏾‍♀	गोरा-केशः स्त्री : मध्यम-कृष्णत्वक्-वर्णः
👱🏿‍♀️	गोरा केशः स्त्री : कृष्णत्वक्स्वरः
👱🏿‍♀	गोरा केशः स्त्री : कृष्णत्वक्स्वरः
👨‍🦰	पुरुषः, रक्तकेशः
👨🏻‍🦰	पुरुषः, रक्तकेशः: लघुत्वक्वर्णः
👨🏼‍🦰	पुरुषः, रक्तकेशः: मध्यम-लघुत्वक्-वर्णः
👨🏽‍🦰	पुरुषः, रक्तकेशः: मध्यमत्वक्वर्णः
👨🏾‍🦰	पुरुषः, रक्तकेशः: मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🦰	पुरुषः, रक्तकेशः: कृष्णत्वक्वर्णः
👩‍🦰	स्त्री रक्तकेशाः
👩🏻‍🦰	स्त्री, रक्तकेशः: लघुत्वक्वर्णः
👩🏼‍🦰	स्त्री, रक्तकेशः मध्यम-लघुत्वक्-वर्णः
👩🏽‍🦰	स्त्री, रक्तकेशः मध्यमत्वक्वर्णः
👩🏾‍🦰	स्त्री, रक्तकेशः मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🦰	स्त्री, रक्तकेशः: कृष्णत्वक्वर्णः
👨‍🦱	पुरुषः कुञ्चितकेशः
👨🏻‍🦱	पुरुषः, कुञ्चितकेशः: लघुत्वक्स्वरः
👨🏼‍🦱	पुरुषः, कुञ्चितकेशः: मध्यम-लघुत्वक्-वर्णः
👨🏽‍🦱	पुरुषः कुञ्चितकेशः मध्यमत्वक्वर्णः
👨🏾‍🦱	पुरुषः, कुञ्चितकेशः: मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🦱	पुरुषः, कुञ्चितकेशः: कृष्णत्वक्वर्णः
👩‍🦱	स्त्री, कुञ्चितकेशाः
👩🏻‍🦱	स्त्री, कुञ्चितकेशः: लघुत्वक्स्वरः
👩🏼‍🦱	स्त्री, कुञ्चितकेशः मध्यम-लघुत्वक्-वर्णः
👩🏽‍🦱	स्त्री, कुञ्चितकेशः मध्यमत्वक्वर्णः
👩🏾‍🦱	स्त्री, कुञ्चितकेशः मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🦱	स्त्री, कुञ्चितकेश: कृष्णत्वक्स्वरः
👨‍🦲	पुरुषः कटाक्षः
👨🏻‍🦲	पुरुषः, गण्डः: लघुत्वक्स्वरः
👨🏼‍🦲	पुरुषः, गण्डः: मध्यम-हल्का त्वचावर्णः
👨🏽‍🦲	पुरुषः, गण्डः: मध्यमत्वक्वर्णः
👨🏾‍🦲	पुरुषः, गण्डः: मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🦲	पुरुषः, गण्डः: कृष्णत्वक्वर्णः
👩‍🦲	स्त्री गण्डमाला
👩🏻‍🦲	स्त्री, गण्डा: हल्के त्वचास्वरः
👩🏼‍🦲	स्त्री, गण्डा: मध्यम-हल्के त्वचास्वर
👩🏽‍🦲	स्त्री, गण्डमाला: मध्यमत्वक्स्वरः
👩🏾‍🦲	स्त्री, गण्डा: मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🦲	स्त्री, गण्डा: कृष्णत्वक्स्वरः
👨‍🦳	पुरुषः श्वेतकेशः
👨🏻‍🦳	पुरुषः श्वेतकेशः लघुत्वक्वर्णः
👨🏼‍🦳	पुरुषः, श्वेतकेशः: मध्यम-लघुत्वक्-वर्णः
👨🏽‍🦳	पुरुषः श्वेतकेशः मध्यमत्वक्वर्णः
👨🏾‍🦳	पुरुषः, श्वेतकेशः: मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🦳	पुरुषः, श्वेतकेशः: कृष्णत्वक्वर्णः
👩‍🦳	स्त्री, श्वेतकेशाः
👩🏻‍🦳	स्त्री, श्वेतकेशः: लघुत्वक्वर्णः
👩🏼‍🦳	स्त्री, श्वेतकेश: मध्यम-लघु त्वचास्वरः
👩🏽‍🦳	स्त्री, श्वेतकेशः मध्यमत्वक्वर्णः
👩🏾‍🦳	स्त्री, श्वेतकेश: मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🦳	स्त्री, श्वेतकेश: कृष्णत्वक्वर्णः
🤵	टक्सीडो-वस्त्रधारी पुरुषः
🤵🏻	man in tuxedo: हल्के त्वचास्वरः
🤵🏼	टक्सीडो-वस्त्रधारी पुरुषः मध्यम-हल्का त्वचा-वर्णः
🤵🏽	टक्सीडो-वस्त्रे पुरुषः मध्यमत्वक्-वर्णः
🤵🏾	tuxedo इत्यस्मिन् पुरुषः मध्यम-कृष्णत्वक्-वर्णः
🤵🏿	मनुष्यः टक्सीडोधारी : कृष्णत्वक्स्वरः
👰	वधूः आवरणयुक्ता
👰🏻	वधूः आवरणयुक्तः : लघुत्वक्स्वरः
👰🏼	वधूः पर्दायुक्ता : मध्यम-हल्के त्वचास्वरः
👰🏽	वधूः पर्दायुक्तः मध्यमत्वक्स्वरः
👰🏾	वधूः पर्दायुक्तः मध्यम-कृष्णत्वक्-वर्णः
👰🏿	वधूः आवरणयुक्ता: कृष्णत्वक्स्वरः
🤰	गर्भिणी
🤰🏻	गर्भिणी : हल्के त्वचा के रंग
🤰🏼	गर्भिणी : मध्यम-हल्का त्वचा रंग
🤰🏽	गर्भिणी : मध्यमत्वक्वर्णः
🤰🏾	गर्भिणी : मध्यम-कृष्णत्वक्-वर्णः
🤰🏿	गर्भिणी : कृष्णत्वक्वर्णः
🤱	स्तनपानम्
🤱🏻	स्तनपानम् : हल्के त्वचास्वरः
🤱🏼	स्तनपानम् : मध्यम-हल्का त्वचास्वरः
🤱🏽	स्तनपानम् : मध्यमत्वक्वर्णः
🤱🏾	स्तनपानम् : मध्यम-कृष्णत्वक्-वर्णः
🤱🏿	स्तनपानम् : कृष्णत्वक्वर्णः
👼	शिशु दूत
👼🏻	शिशु दूतः : हल्के त्वचास्वरः
👼🏼	शिशुदूतः मध्यम-हल्का त्वचास्वरः
👼🏽	शिशुदूतः मध्यमत्वक्स्वरः
👼🏾	baby angel: मध्यम-गहरे त्वचास्वरः
👼🏿	शिशुदूतः कृष्णवर्णीयत्वक्स्वरः
🎅	सांता क्लॉज
🎅🏻	सांता क्लॉजः हल्के त्वचास्वरः
🎅🏼	सांता क्लॉजः मध्यम-हल्का त्वचास्वरः
🎅🏽	सांता क्लॉजः मध्यमत्वक्स्वरः
🎅🏾	सांता क्लॉजः मध्यम-गहरे त्वचास्वरः
🎅🏿	सांता क्लॉजः कृष्णवर्णीयत्वक्स्वरः
🤶	श्रीमती क्लाउज
🤶🏻	श्रीमती क्लॉजः - हल्के त्वचास्वरः
🤶🏼	श्रीमती क्लॉजः मध्यम-हल्के त्वचास्वरः
🤶🏽	श्रीमती क्लॉजः मध्यमत्वक्स्वरः
🤶🏾	श्रीमती क्लॉजः मध्यम-कृष्णत्वक्स्वरः
🤶🏿	श्रीमती क्लॉजः - कृष्णत्वक्स्वरः
🦸	सुपरहीरो
🦸🏻	superhero: हल्के त्वचास्वरः
🦸🏼	superhero: मध्यम-हल्का त्वचास्वरः
🦸🏽	superhero: मध्यम त्वचास्वरः
🦸🏾	superhero: मध्यम-कृष्णत्वक्स्वरः
🦸🏿	superhero: कृष्णत्वक्स्वरः
🦸‍♀️	स्त्री सुपरहीरो
🦸‍♀	स्त्री सुपरहीरो
🦸🏻‍♀️	woman superhero: हल्के त्वचास्वरः
🦸🏻‍♀	woman superhero: हल्के त्वचास्वरः
🦸🏼‍♀️	woman superhero: मध्यम-हल्का त्वचास्वरः
🦸🏼‍♀	woman superhero: मध्यम-हल्का त्वचास्वरः
🦸🏽‍♀️	woman superhero: मध्यम त्वचास्वरः
🦸🏽‍♀	woman superhero: मध्यम त्वचास्वरः
🦸🏾‍♀️	woman superhero: मध्यम-कृष्णत्वक्स्वरः
🦸🏾‍♀	woman superhero: मध्यम-कृष्णत्वक्स्वरः
🦸🏿‍♀️	woman superhero: कृष्णत्वक्स्वरः
🦸🏿‍♀	woman superhero: कृष्णवर्णीयत्वक्स्वरः
🦸‍♂️	मनुष्य सुपरहीरो
🦸‍♂	मनुष्य सुपरहीरो
🦸🏻‍♂️	man superhero: हल्के त्वचास्वरः
🦸🏻‍♂	man superhero: हल्के त्वचास्वरः
🦸🏼‍♂️	man superhero: मध्यम-हल्का त्वचास्वरः
🦸🏼‍♂	man superhero: मध्यम-हल्का त्वचास्वरः
🦸🏽‍♂️	man superhero: मध्यम त्वचास्वरः
🦸🏽‍♂	man superhero: मध्यम त्वचास्वरः
🦸🏾‍♂️	man superhero: मध्यम-गहरे त्वचास्वरः
🦸🏾‍♂	man superhero: मध्यम-गहरे त्वचास्वरः
🦸🏿‍♂️	man superhero: श्यामत्वक्स्वरः
🦸🏿‍♂	पुरुषः सुपरहीरोः कृष्णवर्णीयः त्वचास्वरः
🦹	सुपरविलेन
🦹🏻	supervillain: हल्के त्वचास्वरः
🦹🏼	supervillain: मध्यम-हल्का त्वचास्वरः
🦹🏽	supervillain: मध्यम त्वचास्वरः
🦹🏾	supervillain: मध्यम-गहरे त्वचास्वरः
🦹🏿	supervillain: गहरे त्वचा रंग
🦹‍♀️	स्त्री अतिखलनायिका
🦹‍♀	स्त्री अतिखलनायिका
🦹🏻‍♀️	woman supervillain: हल्के त्वचास्वरः
🦹🏻‍♀	woman supervillain: हल्के त्वचास्वरः
🦹🏼‍♀️	woman supervillain: मध्यम-हल्का त्वचास्वरः
🦹🏼‍♀	woman supervillain: मध्यम-हल्का त्वचास्वरः
🦹🏽‍♀️	woman supervillain: मध्यम त्वचास्वरः
🦹🏽‍♀	woman supervillain: मध्यम त्वचास्वरः
🦹🏾‍♀️	woman supervillain: मध्यम-गहरे त्वचास्वरः
🦹🏾‍♀	woman supervillain: मध्यम-गहरे त्वचास्वरः
🦹🏿‍♀️	woman supervillain: कृष्णत्वक्स्वरः
🦹🏿‍♀	woman supervillain: कृष्णत्वक्स्वरः
🦹‍♂️	मनुष्य सुपरविलेन
🦹‍♂	मनुष्य सुपरविलेन
🦹🏻‍♂️	man supervillain: हल्के त्वचास्वरः
🦹🏻‍♂	man supervillain: हल्के त्वचास्वरः
🦹🏼‍♂️	man supervillain: मध्यम-हल्का त्वचास्वरः
🦹🏼‍♂	man supervillain: मध्यम-हल्का त्वचास्वरः
🦹🏽‍♂️	man supervillain: मध्यम त्वचास्वरः
🦹🏽‍♂	man supervillain: मध्यम त्वचास्वरः
🦹🏾‍♂️	man supervillain: मध्यम-गहरे त्वचास्वरः
🦹🏾‍♂	man supervillain: मध्यम-गहरे त्वचास्वरः
🦹🏿‍♂️	पुरुषः सुपरविलेनः कृष्णवर्णीयः त्वचास्वरः
🦹🏿‍♂	पुरुषः सुपरविलेनः कृष्णवर्णीयः त्वचास्वरः
🧙	मगे
🧙🏻	mage: हल्के त्वचास्वरः
🧙🏼	mage: मध्यम-हल्का त्वचा रंग
🧙🏽	mage: मध्यम त्वचा रंग
🧙🏾	mage: मध्यम-कृष्ण त्वचा रंग
🧙🏿	mage: कृष्णवर्णीयत्वक्स्वरः
🧙‍♀️	स्त्री मगे
🧙‍♀	स्त्री मगे
🧙🏻‍♀️	woman mage: हल्के त्वचास्वरः
🧙🏻‍♀	woman mage: हल्के त्वचास्वरः
🧙🏼‍♀️	woman mage: मध्यम-हल्का त्वचास्वरः
🧙🏼‍♀	woman mage: मध्यम-हल्का त्वचास्वरः
🧙🏽‍♀️	woman mage: मध्यम त्वचास्वरः
🧙🏽‍♀	woman mage: मध्यम त्वचास्वरः
🧙🏾‍♀️	woman mage: मध्यम-कृष्ण त्वचा रंग
🧙🏾‍♀	woman mage: मध्यम-कृष्ण त्वचा रंग
🧙🏿‍♀️	woman mage: कृष्णवर्णीयत्वक्स्वरः
🧙🏿‍♀	woman mage: कृष्णवर्णीयत्वक्स्वरः
🧙‍♂️	मनुष्य मगे
🧙‍♂	मनुष्य मगे
🧙🏻‍♂️	man mage: हल्के त्वचास्वरः
🧙🏻‍♂	man mage: हल्के त्वचास्वरः
🧙🏼‍♂️	man mage: मध्यम-हल्का त्वचास्वरः
🧙🏼‍♂	man mage: मध्यम-हल्का त्वचास्वरः
🧙🏽‍♂️	man mage: मध्यम त्वचास्वरः
🧙🏽‍♂	man mage: मध्यम त्वचास्वरः
🧙🏾‍♂️	man mage: मध्यम-कृष्ण त्वचा रंग
🧙🏾‍♂	man mage: मध्यम-कृष्ण त्वचा रंग
🧙🏿‍♂️	man mage: कृष्णवर्णीयत्वक्स्वरः
🧙🏿‍♂	man mage: कृष्णवर्णीयत्वक्स्वरः
🧚	अप्सरस्
🧚🏻	परी: हल्के त्वचास्वरः
🧚🏼	परी: मध्यम-हल्का त्वचास्वरः
🧚🏽	परी: मध्यमत्वक्स्वरः
🧚🏾	परी: मध्यम-कृष्णत्वक्स्वरः
🧚🏿	परी: कृष्णत्वक्स्वरः
🧚‍♀️	स्त्री परी
🧚‍♀	स्त्री परी
🧚🏻‍♀️	स्त्री परी: हल्के त्वचास्वरः
🧚🏻‍♀	स्त्री परी: हल्के त्वचास्वरः
🧚🏼‍♀️	स्त्री परी: मध्यम-हल्का त्वचास्वरः
🧚🏼‍♀	स्त्री परी: मध्यम-हल्का त्वचास्वरः
🧚🏽‍♀️	स्त्री परी: मध्यमत्वक्स्वरः
🧚🏽‍♀	स्त्री परी: मध्यमत्वक्स्वरः
🧚🏾‍♀️	स्त्री परी: मध्यम-कृष्णत्वक्स्वरः
🧚🏾‍♀	स्त्री परी: मध्यम-कृष्णत्वक्स्वरः
🧚🏿‍♀️	स्त्री परी: कृष्णत्वक्स्वरः
🧚🏿‍♀	स्त्री परी: कृष्णत्वक्स्वरः
🧚‍♂️	पुरुषः परी
🧚‍♂	पुरुषः परी
🧚🏻‍♂️	पुरुषः परी: हल्के त्वचास्वरः
🧚🏻‍♂	पुरुषः परी: हल्के त्वचास्वरः
🧚🏼‍♂️	पुरुषः परी: मध्यम-हल्के त्वचास्वरः
🧚🏼‍♂	पुरुषः परी: मध्यम-हल्के त्वचास्वरः
🧚🏽‍♂️	पुरुषः परी: मध्यमत्वक्स्वरः
🧚🏽‍♂	पुरुषः परी: मध्यमत्वक्स्वरः
🧚🏾‍♂️	पुरुष परी: मध्यम-कृष्णत्वक्स्वरः
🧚🏾‍♂	man fairy: मध्यम-कृष्णत्वक्स्वरः
🧚🏿‍♂️	पुरुषः परी: कृष्णत्वक्स्वरः
🧚🏿‍♂	पुरुषः परी: कृष्णत्वक्स्वरः
🧛	पिशाचः
🧛🏻	पिशाचः हल्के त्वचास्वरः
🧛🏼	पिशाचः मध्यम-हल्का त्वचास्वरः
🧛🏽	पिशाचः मध्यमत्वक्स्वरः
🧛🏾	पिशाचः मध्यम-कृष्णत्वक्-वर्णः
🧛🏿	पिशाचः कृष्णत्वक्स्वरः
🧛‍♀️	स्त्री पिशाच
🧛‍♀	स्त्री पिशाच
🧛🏻‍♀️	स्त्री पिशाचः हल्के त्वचास्वरः
🧛🏻‍♀	स्त्री पिशाचः हल्के त्वचास्वरः
🧛🏼‍♀️	स्त्री पिशाचः मध्यम-हल्का त्वचास्वरः
🧛🏼‍♀	स्त्री पिशाचः मध्यम-हल्का त्वचास्वरः
🧛🏽‍♀️	स्त्री पिशाचः मध्यमत्वक्स्वरः
🧛🏽‍♀	स्त्री पिशाचः मध्यमत्वक्स्वरः
🧛🏾‍♀️	स्त्री पिशाचः मध्यम-कृष्णत्वक्स्वरः
🧛🏾‍♀	स्त्री पिशाचः मध्यम-कृष्णत्वक्स्वरः
🧛🏿‍♀️	स्त्री पिशाचः कृष्णत्वक्स्वरः
🧛🏿‍♀	स्त्री पिशाचः कृष्णत्वक्स्वरः
🧛‍♂️	मनुष्य पिशाच
🧛‍♂	मनुष्य पिशाच
🧛🏻‍♂️	मनुष्य पिशाचः हल्के त्वचास्वरः
🧛🏻‍♂	मनुष्य पिशाचः हल्के त्वचास्वरः
🧛🏼‍♂️	मनुष्य पिशाचः मध्यम-हल्का त्वचास्वरः
🧛🏼‍♂	मनुष्य पिशाचः मध्यम-हल्का त्वचास्वरः
🧛🏽‍♂️	मनुष्य पिशाचः मध्यमत्वक्स्वरः
🧛🏽‍♂	मनुष्य पिशाचः मध्यमत्वक्स्वरः
🧛🏾‍♂️	मनुष्य पिशाचः मध्यम-कृष्णत्वक्स्वरः
🧛🏾‍♂	मनुष्य पिशाचः मध्यम-कृष्णत्वक्स्वरः
🧛🏿‍♂️	मनुष्य पिशाचः श्यामत्वक्स्वरः
🧛🏿‍♂	मनुष्य पिशाचः कृष्णवर्णीयत्वक्स्वरः
🧜	merperson इति
🧜🏻	merperson: हल्के त्वचास्वरः
🧜🏼	merperson: मध्यम-हल्के त्वचास्वरः
🧜🏽	merperson: मध्यमत्वक्स्वरः
🧜🏾	merperson: मध्यम-कृष्णत्वक्-वर्णः
🧜🏿	merperson: कृष्णत्वक्स्वरः
🧜‍♀️	जलपरी
🧜‍♀	जलपरी
🧜🏻‍♀️	मत्स्यकन्या: हल्के त्वचास्वरः
🧜🏻‍♀	मत्स्यकन्या: हल्के त्वचास्वरः
🧜🏼‍♀️	मत्स्यकन्या: मध्यम-हल्का त्वचास्वरः
🧜🏼‍♀	मत्स्यकन्या: मध्यम-हल्का त्वचास्वरः
🧜🏽‍♀️	मत्स्यकन्या: मध्यम त्वचास्वरः
🧜🏽‍♀	मत्स्यकन्या: मध्यम त्वचास्वरः
🧜🏾‍♀️	मत्स्यकन्या: मध्यम-कृष्णत्वक्-वर्णः
🧜🏾‍♀	मत्स्यकन्या: मध्यम-कृष्णत्वक्-वर्णः
🧜🏿‍♀️	मत्स्यकन्या: कृष्णत्वक्स्वरः
🧜🏿‍♀	मत्स्यकन्या: कृष्णत्वक्स्वरः
🧜‍♂️	मेर्मन्
🧜‍♂	मेर्मन्
🧜🏻‍♂️	merman: हल्के त्वचास्वरः
🧜🏻‍♂	merman: हल्के त्वचास्वरः
🧜🏼‍♂️	merman: मध्यम-हल्के त्वचास्वरः
🧜🏼‍♂	merman: मध्यम-हल्के त्वचास्वरः
🧜🏽‍♂️	merman: मध्यमत्वक्स्वरः
🧜🏽‍♂	merman: मध्यमत्वक्स्वरः
🧜🏾‍♂️	merman: मध्यम-कृष्णत्वक्-वर्णः
🧜🏾‍♂	merman: मध्यम-कृष्णत्वक्-वर्णः
🧜🏿‍♂️	merman: कृष्णत्वक्स्वरः
🧜🏿‍♂	merman: कृष्णत्वक्स्वरः
🧝	पिशाचम्
🧝🏻	elf: हल्के त्वचास्वरः
🧝🏼	elf: मध्यम-हल्का त्वचास्वरः
🧝🏽	elf: मध्यम त्वचास्वरः
🧝🏾	elf: मध्यम-कृष्णत्वक्स्वरः
🧝🏿	elf: कृष्णत्वक्स्वरः
🧝‍♀️	स्त्री पिशाचः
🧝‍♀	स्त्री पिशाचः
🧝🏻‍♀️	स्त्री पिशाचः हल्के त्वचास्वरः
🧝🏻‍♀	स्त्री पिशाचः हल्के त्वचास्वरः
🧝🏼‍♀️	स्त्री पिशाचः मध्यम-हल्का त्वचास्वरः
🧝🏼‍♀	स्त्री पिशाचः मध्यम-हल्का त्वचास्वरः
🧝🏽‍♀️	स्त्री पिशाचः मध्यमत्वक्स्वरः
🧝🏽‍♀	स्त्री पिशाचः मध्यमत्वक्स्वरः
🧝🏾‍♀️	स्त्री पिशाचः मध्यम-कृष्णत्वक्स्वरः
🧝🏾‍♀	स्त्री पिशाचः मध्यम-कृष्णत्वक्स्वरः
🧝🏿‍♀️	स्त्री पिशाचः कृष्णवर्णीयत्वक्स्वरः
🧝🏿‍♀	स्त्री पिशाचः कृष्णवर्णीयत्वक्स्वरः
🧝‍♂️	मनुष्य पिशाचः
🧝‍♂	मनुष्य पिशाचः
🧝🏻‍♂️	man elf: हल्के त्वचास्वरः
🧝🏻‍♂	man elf: हल्के त्वचास्वरः
🧝🏼‍♂️	मनुष्य पिशाचः मध्यम-हल्का त्वचास्वरः
🧝🏼‍♂	मनुष्य पिशाचः मध्यम-हल्का त्वचास्वरः
🧝🏽‍♂️	मनुष्य पिशाचः मध्यमत्वक्स्वरः
🧝🏽‍♂	मनुष्य पिशाचः मध्यमत्वक्स्वरः
🧝🏾‍♂️	man elf: मध्यम-कृष्णत्वक्स्वरः
🧝🏾‍♂	man elf: मध्यम-कृष्णत्वक्स्वरः
🧝🏿‍♂️	man elf: कृष्णत्वक्स्वरः
🧝🏿‍♂	man elf: कृष्णत्वक्स्वरः
🧞	जिन्नः
🧞‍♀️	स्त्री जिन्नः
🧞‍♀	स्त्री जिन्नः
🧞‍♂️	मनुष्य जिन्न
🧞‍♂	मनुष्य जिन्न
🧟	ज़ॉम्बी
🧟‍♀️	स्त्री ज़ॉम्बी
🧟‍♀	स्त्री ज़ॉम्बी
🧟‍♂️	मनुष्य ज़ॉम्बी
🧟‍♂	मनुष्य ज़ॉम्बी
🙍	व्यक्तिः भ्रूभङ्गं करोति
🙍🏻	person frowning: हल्के त्वचास्वरः
🙍🏼	person frowning: मध्यम-हल्के त्वचास्वर
🙍🏽	व्यक्तिः भ्रूभङ्गः : मध्यमत्वक्स्वरः
🙍🏾	व्यक्तिः भ्रूभङ्गः : मध्यम-कृष्णत्वक्-वर्णः
🙍🏿	person frowning: कृष्णत्वक्स्वरः
🙍‍♂️	पुरुषः भ्रूभङ्गं कृत्वा
🙍‍♂	पुरुषः भ्रूभङ्गं कृत्वा
🙍🏻‍♂️	man frowning: हल्के त्वचास्वरः
🙍🏻‍♂	man frowning: हल्के त्वचास्वरः
🙍🏼‍♂️	पुरुषः भ्रूभङ्गः : मध्यम-हल्के त्वचास्वरः
🙍🏼‍♂	पुरुषः भ्रूभङ्गः : मध्यम-हल्के त्वचास्वरः
🙍🏽‍♂️	पुरुषः भ्रूभङ्गः : मध्यमत्वक्स्वरः
🙍🏽‍♂	पुरुषः भ्रूभङ्गः : मध्यमत्वक्स्वरः
🙍🏾‍♂️	भ्रूभङ्गः पुरुषः मध्यम-कृष्णत्वक्-वर्णः
🙍🏾‍♂	भ्रूभङ्गः पुरुषः मध्यम-कृष्णत्वक्-वर्णः
🙍🏿‍♂️	man frowning: कृष्णत्वक्स्वरः
🙍🏿‍♂	man frowning: कृष्णत्वक्स्वरः
🙍‍♀️	भ्रूभङ्गं कृत्वा स्त्री
🙍‍♀	भ्रूभङ्गं कृत्वा स्त्री
🙍🏻‍♀️	woman frowning: हल्के त्वचास्वरः
🙍🏻‍♀	woman frowning: हल्के त्वचास्वरः
🙍🏼‍♀️	स्त्री भ्रूभङ्ग : मध्यम-हल्के त्वचास्वर
🙍🏼‍♀	स्त्री भ्रूभङ्ग : मध्यम-हल्के त्वचास्वर
🙍🏽‍♀️	स्त्री भ्रूभङ्ग : मध्यम त्वचास्वरः
🙍🏽‍♀	स्त्री भ्रूभङ्ग : मध्यम त्वचास्वरः
🙍🏾‍♀️	भ्रूभङ्गं कृत्वा स्त्री : मध्यम-कृष्णत्वक्-वर्णः
🙍🏾‍♀	भ्रूभङ्गं कृत्वा स्त्री : मध्यम-कृष्णत्वक्-वर्णः
🙍🏿‍♀️	भ्रूभङ्गं कृत्वा महिला : कृष्णत्वक्स्वरः
🙍🏿‍♀	भ्रूभङ्गं कृत्वा महिला : कृष्णत्वक्स्वरः
🙎	person pouting
🙎🏻	person pouting: हल्के त्वचास्वरः
🙎🏼	person pouting: मध्यम-हल्का त्वचास्वरः
🙎🏽	person pouting: मध्यम त्वचास्वरः
🙎🏾	person pouting: मध्यम-कृष्णत्वक्स्वरः
🙎🏿	person pouting: कृष्णवर्णीयत्वक्स्वरः
🙎‍♂️	मनुष्यः पाउटिंग् करोति
🙎‍♂	मनुष्यः पाउटिंग् करोति
🙎🏻‍♂️	man pouting: हल्के त्वचास्वरः
🙎🏻‍♂	man pouting: हल्के त्वचास्वरः
🙎🏼‍♂️	man pouting: मध्यम-हल्के त्वचास्वरः
🙎🏼‍♂	man pouting: मध्यम-हल्के त्वचास्वरः
🙎🏽‍♂️	man pouting: मध्यम त्वचास्वरः
🙎🏽‍♂	man pouting: मध्यम त्वचास्वरः
🙎🏾‍♂️	man pouting: मध्यम-कृष्णत्वक्स्वरः
🙎🏾‍♂	man pouting: मध्यम-कृष्णत्वक्स्वरः
🙎🏿‍♂️	man pouting: कृष्णत्वक्स्वरः
🙎🏿‍♂	man pouting: कृष्णत्वक्स्वरः
🙎‍♀️	स्त्री पौट् करोति
🙎‍♀	स्त्री पौट् करोति
🙎🏻‍♀️	woman pouting: हल्के त्वचास्वरः
🙎🏻‍♀	woman pouting: हल्के त्वचास्वरः
🙎🏼‍♀️	woman pouting: मध्यम-हल्का त्वचास्वरः
🙎🏼‍♀	woman pouting: मध्यम-हल्का त्वचास्वरः
