😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
👨🏽‍🦳	ꯅꯨꯄꯥ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨🏾‍🦳	ꯃꯤꯑꯣꯏꯕꯥ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨🏿‍🦳	ꯃꯤꯑꯣꯏꯕꯥ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩‍🦳	ꯅꯨꯄꯤ, ꯑꯉꯧꯕꯥ ꯆꯨꯝꯅꯒꯤ꯫
👩🏻‍🦳	ꯅꯨꯄꯤ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼‍🦳	ꯅꯨꯄꯤ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽‍🦳	ꯅꯨꯄꯤ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏾‍🦳	ꯅꯨꯄꯤ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏿‍🦳	ꯅꯨꯄꯤ, ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ: ꯑꯉꯧꯕꯥ ꯈꯣꯡꯎꯞ꯫
🤵	ꯇꯨꯛꯁꯤꯗꯣꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ꯫
🤵🏻	ꯇꯨꯛꯁꯤꯗꯣꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤵🏼	ꯇꯨꯛꯁꯤꯗꯣꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤵🏽	ꯇꯨꯛꯁꯤꯗꯣꯗꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🤵🏾	ꯇꯨꯛꯁꯤꯗꯣꯗꯥ ꯂꯩꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤵🏿	ꯇꯨꯛꯁꯤꯗꯣꯗꯥ ꯃꯤꯑꯣꯏ ꯑꯃꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👰	ꯚꯦꯜꯌꯨꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯅꯨꯄꯤꯃꯆꯥ꯫
👰🏻	ꯚꯦꯜꯌꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👰🏼	ꯚꯦꯜꯌꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👰🏽	ꯚꯦꯜꯌꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👰🏾	ꯚꯦꯜꯌꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👰🏿	ꯚꯦꯜꯌꯨ ꯂꯩꯕꯥ ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🤰	ꯃꯤꯔꯣꯜꯂꯤꯕꯤ ꯅꯨꯄꯤ꯫
🤰🏻	ꯃꯤꯔꯣꯜꯂꯤꯕꯤ ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤰🏼	ꯃꯤꯔꯣꯜꯂꯤꯕꯤ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤰🏽	ꯃꯤꯔꯣꯜꯂꯤꯕꯤ ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🤰🏾	ꯃꯤꯔꯣꯜꯂꯤꯕꯤ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤰🏿	ꯃꯤꯔꯣꯜꯂꯤꯕꯤ ꯅꯨꯄꯤ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤱	ꯈꯣꯝꯂꯥꯡ ꯄꯤꯊꯀꯄꯥ꯫
🤱🏻	ꯈꯣꯝꯂꯥꯡ ꯄꯤꯊꯀꯄꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤱🏼	ꯈꯣꯝꯂꯥꯡ ꯄꯤꯊꯀꯄꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤱🏽	ꯈꯣꯝꯂꯥꯡ ꯄꯤꯊꯀꯄꯥ: ꯃꯤꯗꯤꯌꯥꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤱🏾	ꯈꯣꯝꯂꯥꯡ ꯄꯤꯊꯀꯄꯥ: ꯃꯤꯗꯤꯌꯥꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤱🏿	ꯈꯣꯝꯂꯥꯡ ꯄꯤꯊꯀꯄꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👼	ꯕꯦꯕꯤ ꯑꯦꯟꯖꯦꯜ꯫
👼🏻	ꯕꯦꯕꯤ ꯑꯦꯟꯖꯦꯜ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👼🏼	ꯕꯦꯕꯤ ꯑꯦꯟꯖꯦꯜ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👼🏽	ꯕꯦꯕꯤ ꯑꯦꯟꯖꯦꯜ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👼🏾	ꯕꯦꯕꯤ ꯑꯦꯟꯖꯦꯜ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👼🏿	ꯕꯦꯕꯤ ꯑꯦꯟꯖꯦꯜ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🎅	ꯁꯥꯟꯇꯥ ꯀ꯭ꯂꯖ꯫
🎅🏻	ꯁꯥꯟꯇꯥ ꯀ꯭ꯂꯖ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🎅🏼	ꯁꯥꯟꯇꯥ ꯀ꯭ꯂꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🎅🏽	ꯁꯥꯟꯇꯥ ꯀ꯭ꯂꯖ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🎅🏾	ꯁꯥꯟꯇꯥ ꯀ꯭ꯂꯖ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🎅🏿	ꯁꯥꯟꯇꯥ ꯀ꯭ꯂꯖ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🤶	ꯁ꯭ꯔꯤꯃꯇꯤ ꯀ꯭ꯂꯥꯎꯁ꯫
🤶🏻	ꯁ꯭ꯔꯤꯃꯇꯤ ꯀ꯭ꯂꯥꯎꯁ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤶🏼	ꯁ꯭ꯔꯤꯃꯇꯤ ꯀ꯭ꯂꯥꯎꯁ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤶🏽	ꯁ꯭ꯔꯤꯃꯇꯤ ꯀ꯭ꯂꯥꯎꯁ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤶🏾	ꯁ꯭ꯔꯤꯃꯇꯤ ꯀ꯭ꯂꯥꯎꯁ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🤶🏿	ꯁ꯭ꯔꯤꯃꯇꯤ ꯀ꯭ꯂꯥꯎꯁ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸	ꯁꯨꯄꯥꯔꯍꯤꯔꯣ ꯑꯣꯏꯈꯤ꯫
🦸🏻	ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏼	ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏽	ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏾	ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏿	ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦸‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ꯫
🦸‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ꯫
🦸🏻‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏻‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏼‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏼‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏽‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏽‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏾‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏾‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏿‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦸🏿‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦸‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ꯫
🦸‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ꯫
🦸🏻‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏻‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏼‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏼‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏽‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏽‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏾‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏾‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯍꯤꯔꯣ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦸🏿‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦸🏿‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯥꯔꯍꯤꯔꯣ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹	ꯁꯨꯄꯔꯚꯤꯂꯦꯟ ꯑꯣꯏꯕꯥ꯫
🦹🏻	ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏼	ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏽	ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹🏾	ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏿	ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ꯫
🦹‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ꯫
🦹🏻‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏻‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏼‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏼‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏽‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹🏽‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹🏾‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏾‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏿‍♀️	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹🏿‍♀	ꯅꯨꯄꯤ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ꯫
🦹‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ꯫
🦹🏻‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏻‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏼‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏼‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏽‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏽‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏾‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏾‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🦹🏿‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🦹🏿‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯁꯨꯄꯔꯚꯤꯂꯦꯟ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧙	ꯃꯦꯒ
🧙🏻	mage: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏼	mage: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏽	mage: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏾	mage: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏿	mage: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙‍♀️	ꯅꯨꯄꯤ ꯃꯦꯒ꯫
🧙‍♀	ꯅꯨꯄꯤ ꯃꯦꯒ꯫
🧙🏻‍♀️	ꯅꯨꯄꯤ ꯃꯦꯒ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏻‍♀	ꯅꯨꯄꯤ ꯃꯦꯒ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏼‍♀️	ꯅꯨꯄꯤ ꯃꯦꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏼‍♀	ꯅꯨꯄꯤ ꯃꯦꯖ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏽‍♀️	ꯅꯨꯄꯤ ꯃꯦꯒ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏽‍♀	ꯅꯨꯄꯤ ꯃꯦꯒ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏾‍♀️	ꯅꯨꯄꯤ ꯃꯦꯖ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏾‍♀	ꯅꯨꯄꯤ ꯃꯦꯖ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏿‍♀️	ꯅꯨꯄꯤ ꯃꯦꯒ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧙🏿‍♀	ꯅꯨꯄꯤ ꯃꯦꯒ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧙‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯃꯥꯒ꯫
🧙‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯃꯥꯒ꯫
🧙🏻‍♂️	man mage: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏻‍♂	man mage: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏼‍♂️	man mage: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏼‍♂	man mage: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏽‍♂️	man mage: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏽‍♂	man mage: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏾‍♂️	man mage: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏾‍♂	man mage: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏿‍♂️	man mage: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧙🏿‍♂	man mage: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚	ꯍꯦꯜꯂꯣꯏ
🧚🏻	ꯐꯦꯔꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏼	ꯐꯦꯔꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
