😀	aghaidh grinning
👲🏻	fear le caipín Síneach: ton craicinn éadrom
👲🏼	fear le caipín Sínis: ton craiceann meánach
👲🏽	fear le caipín Sínis: ton craiceann meánach
👲🏾	fear le caipín Síneach: ton craiceann meán-dorcha
👲🏿	fear le caipín Síneach: ton craiceann dorcha
🧕	bean le scairf
🧕🏻	bean le scairf: ton craicinn éadrom
🧕🏼	bean a bhfuil scairf: ton craiceann meánach
🧕🏽	bean a bhfuil scairf air: ton meánach craicinn
🧕🏾	bean a bhfuil scairf air: ton craiceann meán-dorcha
🧕🏿	bean le scairf: ton dorcha craicinn
🧔	duine féasógach
🧔🏻	duine féasóg: ton craicinn éadrom
🧔🏼	Duine féasóg: ton craiceann meánach
🧔🏽	duine féasóg: ton craiceann meánach
🧔🏾	duine féasóg: ton craiceann meán-dorcha
🧔🏿	duine féasóg: ton dorcha craicinn
👱	duine fionn
👱🏻	duine fionn: ton craicinn éadrom
👱🏼	duine fionn: ton craiceann meánach
👱🏽	duine fionn: ton craiceann meánach
👱🏾	duine fionn: ton craiceann meán-dorcha
👱🏿	duine fionn: ton dorcha craicinn
👱‍♂️	fear fionn
👱‍♂	fear fionn
👱🏻‍♂️	fear fionn: ton craicinn éadrom
👱🏻‍♂	fear fionn: ton craicinn éadrom
👱🏼‍♂️	fear fionn: ton craiceann meánach
👱🏼‍♂	fear fionn: ton craiceann meánach
👱🏽‍♂️	fear fionn: ton craiceann meánach
👱🏽‍♂	fear fionn: ton craiceann meánach
👱🏾‍♂️	fear fionn: ton craicinn mheán-dorcha
👱🏾‍♂	fear fionn: ton craicinn mheán-dorcha
👱🏿‍♂️	fear fionn: ton dorcha craicinn
👱🏿‍♂	fear fionn: ton dorcha craicinn
👱‍♀️	bean fionn
👱‍♀	bean fionn
👱🏻‍♀️	bean fhionn: ton craicinn éadrom
👱🏻‍♀	bean fhionn: ton craicinn éadrom
👱🏼‍♀️	bean fhionn: ton craiceann meánach
👱🏼‍♀	bean fhionn: ton craiceann meánach
👱🏽‍♀️	bean fhionn: ton craiceann meánach
👱🏽‍♀	bean fhionn: ton craiceann meánach
👱🏾‍♀️	bean fhionn: ton craiceann mheán-dorcha
👱🏾‍♀	bean fhionn: ton craiceann mheán-dorcha
👱🏿‍♀️	bean fhionn: ton dorcha craicinn
👱🏿‍♀	bean fhionn: ton dorcha craicinn
👨‍🦰	fear, gruaig rua
👨🏻‍🦰	fear, gruaig rua: ton craicinn éadrom
👨🏼‍🦰	fear, gruaig rua: ton craiceann meánach
👨🏽‍🦰	fear, gruaig rua: ton craiceann meánach
👨🏾‍🦰	fear, gruaig rua: ton craiceann meán-dorcha
👨🏿‍🦰	fear, gruaig rua: ton dorcha craicinn
👩‍🦰	bean, gruaig rua
👩🏻‍🦰	bean, gruaig rua: ton craicinn éadrom
👩🏼‍🦰	bean, gruaig rua: ton craiceann meánach
👩🏽‍🦰	bean, gruaig rua: ton craiceann meánach
👩🏾‍🦰	bean, gruaig rua: ton craiceann mheán-dorcha
👩🏿‍🦰	bean, gruaig rua: ton dorcha craicinn
👨‍🦱	fear, gruaig chatach
👨🏻‍🦱	fear, gruaig chatach: ton craicinn éadrom
👨🏼‍🦱	fear, gruaig chatach: ton craiceann meánach
👨🏽‍🦱	fear, gruaig chatach: ton craiceann meánach
👨🏾‍🦱	fear, gruaig chatach: ton craiceann meán-dorcha
👨🏿‍🦱	fear, gruaig chatach: ton dorcha craicinn
👩‍🦱	bean, gruaig chatach
👩🏻‍🦱	bean, gruaig chatach: ton craicinn éadrom
👩🏼‍🦱	bean, gruaig chatach: ton craiceann meánach
👩🏽‍🦱	bean, gruaig chatach: ton craiceann meánach
👩🏾‍🦱	bean, gruaig chatach: ton craiceann meán-dorcha
👩🏿‍🦱	bean, gruaig chatach: ton dorcha craicinn
👨‍🦲	fear, maol
👨🏻‍🦲	fear, maol: ton craicinn éadrom
👨🏼‍🦲	fear, maol: ton craiceann meánach
👨🏽‍🦲	fear, maol: ton craiceann meánach
👨🏾‍🦲	fear, maol: ton craiceann meán-dorcha
👨🏿‍🦲	fear, maol: ton dorcha craicinn
👩‍🦲	bean, maol
👩🏻‍🦲	bean, maol: ton craicinn éadrom
👩🏼‍🦲	bean, maol: ton craiceann meánach
👩🏽‍🦲	bean, maol: ton craiceann meánach
👩🏾‍🦲	bean, maol: ton craiceann meán-dorcha
👩🏿‍🦲	bean, maol: ton dorcha craicinn
👨‍🦳	fear, gruaig bhán
👨🏻‍🦳	fear, gruaig bhán: ton craiceann éadrom
👨🏼‍🦳	fear, gruaig bhán: ton craiceann meánach
👨🏽‍🦳	fear, gruaig bhán: ton craiceann meánach
👨🏾‍🦳	fear, gruaig bhán: ton craiceann meán-dorcha
👨🏿‍🦳	fear, gruaig bhán: ton dorcha craicinn
👩‍🦳	bean, gruaig bhán
👩🏻‍🦳	bean, gruaig bhán: ton craicinn éadrom
👩🏼‍🦳	bean, gruaig bhán: ton craiceann meánach
👩🏽‍🦳	bean, gruaig bhán: ton craiceann meánach
👩🏾‍🦳	bean, gruaig bhán: ton craiceann meán-dorcha
👩🏿‍🦳	bean, gruaig bhán: ton dorcha craicinn
🤵	fear i tuxedo
🤵🏻	fear i tuxedo: ton craicinn éadrom
🤵🏼	Fear i tuxedo: ton craiceann meánach
🤵🏽	Fear i tuxedo: ton craiceann meánach
🤵🏾	fear i tuxedo: ton craiceann meán-dorcha
🤵🏿	fear i tuxedo: ton dorcha craicinn
👰	Bride le veil
👰🏻	Bride le veil: ton craicinn éadrom
👰🏼	Bride le veil: ton craiceann meánach
👰🏽	Bride le veil: ton craiceann meánach
👰🏾	Bride le veil: ton craiceann meán-dorcha
👰🏿	Bride le veil: ton dorcha craicinn
🤰	bean ag iompar clainne
🤰🏻	bean ag iompar clainne: ton craicinn éadrom
🤰🏼	bean ag iompar clainne: ton craiceann meánach
🤰🏽	bean ag iompar clainne: ton craiceann meánach
🤰🏾	bean ag iompar clainne: ton craiceann meán-dorcha
🤰🏿	bean ag iompar clainne: ton dorcha craicinn
🤱	beathú cíche
🤱🏻	beathú cíche: ton craiceann éadrom
🤱🏼	beathú cíche: ton craiceann meánach
🤱🏽	beathú cíche: ton meánach craicinn
🤱🏾	beathú cíche: ton craiceann meán-dorcha
🤱🏿	beathú cíche: ton dorcha craicinn
👼	aingeal leanbh
👼🏻	aingeal leanbh: ton craiceann éadrom
👼🏼	aingeal leanbh: ton craiceann meánach
👼🏽	aingeal leanbh: ton craiceann meánach
👼🏾	aingeal leanbh: ton craiceann meán-dorcha
👼🏿	aingeal leanbh: ton dorcha craiceann
🎅	Daidí na Nollag
🎅🏻	Daidí na Nollag: ton craiceann éadrom
🎅🏼	Daidí na Nollag: ton craiceann meánach
🎅🏽	Daidí na Nollag: ton meánach craicinn
🎅🏾	Daidí na Nollag: ton craiceann meán-dorcha
🎅🏿	Daidí na Nollag: ton dorcha craicinn
🤶	Mrs Clás
🤶🏻	Mrs. Claus: ton craicinn éadrom
🤶🏼	Mrs Claus: ton craiceann meánach
🤶🏽	Mrs. Claus: ton meánach craicinn
🤶🏾	Mrs. Claus: ton craiceann meán-dorcha
🤶🏿	Mrs. Claus: ton dorcha craicinn
🦸	sárlaoch
🦸🏻	superhero: ton craicinn éadrom
🦸🏼	: crógach: ton craiceann meánach
🦸🏽	crógach: ton meánach craicinn
🦸🏾	superhero: ton craiceann meán-dorcha
🦸🏿	superhero: ton dorcha craicinn
🦸‍♀️	sárlaoch bean
🦸‍♀	sárlaoch bean
🦸🏻‍♀️	ban superhero: ton craicinn éadrom
🦸🏻‍♀	ban superhero: ton craicinn éadrom
🦸🏼‍♀️	ban crógach: ton craiceann meánach
🦸🏼‍♀	ban crógach: ton craiceann meánach
🦸🏽‍♀️	crógach bean: ton meánach craicinn
🦸🏽‍♀	crógach bean: ton craiceann meánach
🦸🏾‍♀️	crógach bean: ton craiceann meán-dorcha
🦸🏾‍♀	crógach bean: ton craiceann meán-dorcha
🦸🏿‍♀️	superhero bean: ton dorcha craicinn
🦸🏿‍♀	superhero bean: ton dorcha craicinn
🦸‍♂️	sárlaoch fear
🦸‍♂	sárlaoch fear
🦸🏻‍♂️	superhero fear: ton craicinn éadrom
🦸🏻‍♂	superhero fear: ton craicinn éadrom
🦸🏼‍♂️	crógach fear: ton craiceann meánach
🦸🏼‍♂	crógach fear: ton craiceann meánach
🦸🏽‍♂️	crógach fear: ton meánach craicinn
🦸🏽‍♂	crógach fear: ton meánach craicinn
🦸🏾‍♂️	crógach fear: ton craiceann meán-dorcha
🦸🏾‍♂	crógach fear: ton craiceann meán-dorcha
🦸🏿‍♂️	superhero fear: ton dorcha craicinn
🦸🏿‍♂	superhero fear: ton dorcha craicinn
🦹	supervillain
🦹🏻	supervillain: ton craicinn éadrom
🦹🏼	Supervillain: ton craiceann meánach
🦹🏽	supervillain: ton craiceann meánach
🦹🏾	supervillain: ton craiceann meán-dorcha
🦹🏿	supervillain: ton dorcha craicinn
🦹‍♀️	ban supervillain
🦹‍♀	ban supervillain
🦹🏻‍♀️	bean supervillain: ton craicinn éadrom
🦹🏻‍♀	bean supervillain: ton craicinn éadrom
🦹🏼‍♀️	ban supervillain: ton craiceann meánach
🦹🏼‍♀	ban supervillain: ton craiceann meánach
🦹🏽‍♀️	ban supervillain: ton craiceann meánach
🦹🏽‍♀	ban supervillain: ton craiceann meánach
🦹🏾‍♀️	bean supervillain: ton craiceann meán-dorcha
🦹🏾‍♀	bean supervillain: ton craiceann meán-dorcha
🦹🏿‍♀️	bean supervillain: ton dorcha craicinn
🦹🏿‍♀	bean supervillain: ton dorcha craicinn
🦹‍♂️	fear supervillain
🦹‍♂	fear supervillain
🦹🏻‍♂️	man supervillain: ton craicinn éadrom
🦹🏻‍♂	man supervillain: ton craicinn éadrom
🦹🏼‍♂️	man supervillain: ton craiceann meánach
🦹🏼‍♂	man supervillain: ton craiceann meánach
🦹🏽‍♂️	man supervillain: ton craiceann meánach
🦹🏽‍♂	man supervillain: ton craiceann meánach
🦹🏾‍♂️	man supervillain: ton craiceann meán-dorcha
🦹🏾‍♂	man supervillain: ton craiceann meán-dorcha
🦹🏿‍♂️	man supervillain: ton dorcha craicinn
🦹🏿‍♂	man supervillain: ton dorcha craicinn
🧙	magaidh
🧙🏻	mage: ton craicinn éadrom
🧙🏼	mage: ton craiceann meánach
🧙🏽	mage: ton craiceann meánach
🧙🏾	mage: ton craiceann meán-dorcha
🧙🏿	mage: ton dorcha craicinn
🧙‍♀️	bean magaidh
🧙‍♀	bean magaidh
🧙🏻‍♀️	bean mage: ton craicinn éadrom
🧙🏻‍♀	bean mage: ton craicinn éadrom
🧙🏼‍♀️	bean mage: ton craiceann meánach
🧙🏼‍♀	bean mage: ton craiceann meánach
🧙🏽‍♀️	bean mage: ton craiceann meánach
🧙🏽‍♀	bean mage: ton craiceann meánach
🧙🏾‍♀️	bean mage: ton craiceann meán-dorcha
🧙🏾‍♀	bean mage: ton craiceann meán-dorcha
🧙🏿‍♀️	bean mage: ton dorcha craicinn
🧙🏿‍♀	bean mage: ton dorcha craicinn
🧙‍♂️	fear magaidh
🧙‍♂	fear magaidh
🧙🏻‍♂️	man mage: ton craicinn éadrom
🧙🏻‍♂	man mage: ton craicinn éadrom
🧙🏼‍♂️	mage fir: ton craiceann meánach
🧙🏼‍♂	mage fir: ton craiceann meánach
🧙🏽‍♂️	man mage: ton craiceann meánach
🧙🏽‍♂	man mage: ton craiceann meánach
🧙🏾‍♂️	man mage: ton craiceann meán-dorcha
🧙🏾‍♂	man mage: ton craiceann meán-dorcha
🧙🏿‍♂️	man mage: ton dorcha craicinn
🧙🏿‍♂	man mage: ton dorcha craicinn
🧚	sióg
🧚🏻	sióg: ton craicinn éadrom
🧚🏼	sióg: ton craiceann meánach
🧚🏽	sióg: ton craiceann meánach
🧚🏾	sióg: ton craiceann meán-dorcha
🧚🏿	sióg: ton dorcha craicinn
🧚‍♀️	bean sióg
🧚‍♀	bean sióg
🧚🏻‍♀️	bean sióg: ton craicinn éadrom
🧚🏻‍♀	bean sióg: ton craicinn éadrom
🧚🏼‍♀️	bean sióg: ton craiceann meánach
🧚🏼‍♀	bean sióg: ton craiceann meánach
🧚🏽‍♀️	bean sióg: ton craiceann meánach
🧚🏽‍♀	bean sióg: ton craiceann meánach
🧚🏾‍♀️	bean sióg: ton craiceann meán-dorcha
🧚🏾‍♀	bean sióg: ton craiceann meán-dorcha
🧚🏿‍♀️	bean sióg: ton dorcha craicinn
🧚🏿‍♀	bean sióg: ton dorcha craicinn
🧚‍♂️	sióg fear
🧚‍♂	sióg fear
🧚🏻‍♂️	fear sióg: ton craicinn éadrom
🧚🏻‍♂	fear sióg: ton craicinn éadrom
🧚🏼‍♂️	fear sióg: ton craiceann meánach
🧚🏼‍♂	fear sióg: ton craiceann meánach
🧚🏽‍♂️	fear sióg: ton craiceann meánach
🧚🏽‍♂	fear sióg: ton craiceann meánach
🧚🏾‍♂️	fear sióg: ton craiceann meán-dorcha
🧚🏾‍♂	fear sióg: ton craiceann meán-dorcha
🧚🏿‍♂️	fear sióg: ton dorcha craicinn
🧚🏿‍♂	fear sióg: ton dorcha craicinn
🧛	vaimpír
🧛🏻	vampire: ton craicinn éadrom
🧛🏼	vampire: ton craiceann meánach
🧛🏽	vampire: ton meánach craicinn
🧛🏾	vampire: ton craiceann meán-dorcha
🧛🏿	vampire: ton dorcha craicinn
🧛‍♀️	bean vampire
🧛‍♀	bean vampire
🧛🏻‍♀️	ban vampire: ton craicinn éadrom
🧛🏻‍♀	ban vampire: ton craicinn éadrom
🧛🏼‍♀️	ban vampire: ton craiceann meánach
🧛🏼‍♀	ban vampire: ton craiceann meánach
🧛🏽‍♀️	ban vampire: ton meánach craicinn
🧛🏽‍♀	ban vampire: ton meánach craicinn
🧛🏾‍♀️	ban vampire: ton craiceann meán-dorcha
🧛🏾‍♀	ban vampire: ton craiceann meán-dorcha
🧛🏿‍♀️	ban vampire: ton dorcha craicinn
🧛🏿‍♀	ban vampire: ton dorcha craicinn
🧛‍♂️	vampire fear
🧛‍♂	vampire fear
🧛🏻‍♂️	man vampire: ton craicinn éadrom
🧛🏻‍♂	man vampire: ton craicinn éadrom
🧛🏼‍♂️	man vampire: ton craicinn mheán-éadrom
🧛🏼‍♂	man vampire: ton craicinn mheán-éadrom
🧛🏽‍♂️	man vampire: ton craiceann meánach
🧛🏽‍♂	man vampire: ton craiceann meánach
🧛🏾‍♂️	man vampire: ton craiceann meán-dorcha
🧛🏾‍♂	man vampire: ton craiceann meán-dorcha
🧛🏿‍♂️	man vampire: ton dorcha craicinn
🧛🏿‍♂	man vampire: ton dorcha craicinn
🧜	duine
🧜🏻	merperson: ton craicinn éadrom
🧜🏼	merperson: ton craiceann meánach
🧜🏽	merperson: ton meánach craicinn
🧜🏾	merperson: ton craiceann meán-dorcha
🧜🏿	merperson: ton dorcha craicinn
🧜‍♀️	mermaid
🧜‍♀	mermaid
🧜🏻‍♀️	mermaid: ton craicinn éadrom
🧜🏻‍♀	mermaid: ton craicinn éadrom
🧜🏼‍♀️	mermaid: ton craiceann meánach
🧜🏼‍♀	mermaid: ton craiceann meánach
🧜🏽‍♀️	mermaid: ton craiceann meánach
🧜🏽‍♀	mermaid: ton craiceann meánach
🧜🏾‍♀️	mermaid: ton craiceann meán-dorcha
🧜🏾‍♀	mermaid: ton craiceann meán-dorcha
🧜🏿‍♀️	mermaid: ton dorcha craicinn
🧜🏿‍♀	mermaid: ton dorcha craicinn
🧜‍♂️	merman
🧜‍♂	merman
🧜🏻‍♂️	merman: ton craicinn éadrom
🧜🏻‍♂	merman: ton craicinn éadrom
🧜🏼‍♂️	merman: ton craiceann meánach
🧜🏼‍♂	merman: ton craiceann meánach
🧜🏽‍♂️	merman: ton craiceann meánach
🧜🏽‍♂	merman: ton craiceann meánach
🧜🏾‍♂️	merman: ton craiceann meán-dorcha
🧜🏾‍♂	merman: ton craiceann meán-dorcha
🧜🏿‍♂️	merman: ton dorcha craicinn
🧜🏿‍♂	merman: ton dorcha craicinn
🧝	elf
🧝🏻	Elf: ton craicinn éadrom
🧝🏼	Elf: ton craiceann meánach
🧝🏽	Elf: ton meánach craicinn
🧝🏾	Elf: ton craiceann meán-dorcha
🧝🏿	Elf: ton dorcha craicinn
🧝‍♀️	bean elf
🧝‍♀	bean elf
🧝🏻‍♀️	Elf bean: ton craicinn éadrom
🧝🏻‍♀	bean Elf: ton craicinn éadrom
🧝🏼‍♀️	Elf bean: ton craiceann meánach
🧝🏼‍♀	Elf bean: ton craiceann meánach
🧝🏽‍♀️	Elf bean: ton meánach craicinn
🧝🏽‍♀	Elf bean: ton meánach craicinn
🧝🏾‍♀️	Elf bean: ton craiceann meán-dorcha
🧝🏾‍♀	Elf bean: ton craiceann meán-dorcha
🧝🏿‍♀️	Elf bean: ton dorcha craicinn
🧝🏿‍♀	Elf bean: ton dorcha craicinn
🧝‍♂️	fear elf
🧝‍♂	fear elf
🧝🏻‍♂️	man elf: ton craicinn éadrom
🧝🏻‍♂	man elf: ton craicinn éadrom
🧝🏼‍♂️	Elf fear: ton craiceann meánach
🧝🏼‍♂	Elf fear: ton craiceann meánach
🧝🏽‍♂️	Elf fear: ton meánach craicinn
🧝🏽‍♂	Elf fear: ton meánach craicinn
🧝🏾‍♂️	Elf fear: ton craiceann meán-dorcha
🧝🏾‍♂	Elf fear: ton craiceann meán-dorcha
🧝🏿‍♂️	fear elf: ton dorcha craicinn
🧝🏿‍♂	fear elf: ton dorcha craicinn
🧞	fathach
🧞‍♀️	bean genie
🧞‍♀	bean genie
🧞‍♂️	fear genie
🧞‍♂	fear genie
🧟	zombie
🧟‍♀️	zombie bean
🧟‍♀	zombie bean
🧟‍♂️	zombie fear
🧟‍♂	zombie fear
🙍	duine frown
🙍🏻	duine frowning: ton craicinn éadrom
🙍🏼	bréige duine: ton craiceann meánach
🙍🏽	frowning duine: ton craiceann meánach
🙍🏾	frowning duine: ton craiceann meán-dorcha
🙍🏿	frowning duine: ton dorcha craicinn
🙍‍♂️	fear ag gáire
🙍‍♂	fear ag gáire
🙍🏻‍♂️	fear frowning: ton craicinn éadrom
🙍🏻‍♂	fear frowning: ton craicinn éadrom
🙍🏼‍♂️	frowning fear: ton craiceann meánach
🙍🏼‍♂	frowning fear: ton craiceann meánach
🙍🏽‍♂️	frowning fear: ton craiceann meánach
🙍🏽‍♂	frowning fear: ton craiceann meánach
🙍🏾‍♂️	fear frowning: ton craiceann meán-dorcha
🙍🏾‍♂	fear frowning: ton craiceann meán-dorcha
🙍🏿‍♂️	fear frowning: ton dorcha craicinn
🙍🏿‍♂	fear frowning: ton dorcha craicinn
🙍‍♀️	bean ag gáire
🙍‍♀	bean ag gáire
🙍🏻‍♀️	bean frowning: ton craicinn éadrom
🙍🏻‍♀	bean frowning: ton craicinn éadrom
🙍🏼‍♀️	ban: ton craiceann meánach
🙍🏼‍♀	ban: ton craiceann meánach
🙍🏽‍♀️	frowning bean: ton craiceann meánach
🙍🏽‍♀	frowning bean: ton craiceann meánach
🙍🏾‍♀️	frowning bean: ton craiceann meán-dorcha
🙍🏾‍♀	frowning bean: ton craiceann meán-dorcha
🙍🏿‍♀️	bean frowning: ton dorcha craicinn
🙍🏿‍♀	bean frowning: ton dorcha craicinn
🙎	duine ag pouting
🙎🏻	duine ag pouting: ton craicinn éadrom
🙎🏼	person pouting: ton craiceann meánach
🙎🏽	person pouting: ton craiceann meánach
🙎🏾	duine ag pouting: ton craiceann meán-dorcha
🙎🏿	duine ag pouting: ton dorcha craicinn
🙎‍♂️	fear ag pouting
🙎‍♂	fear ag pouting
🙎🏻‍♂️	man pouting: ton craicinn éadrom
🙎🏻‍♂	man pouting: ton craicinn éadrom
🙎🏼‍♂️	man pouting: ton craiceann meánach
🙎🏼‍♂	man pouting: ton craiceann meánach
🙎🏽‍♂️	man pouting: ton craiceann meánach
🙎🏽‍♂	man pouting: ton craiceann meánach
🙎🏾‍♂️	man pouting: ton craiceann meán-dorcha
🙎🏾‍♂	man pouting: ton craiceann meán-dorcha
🙎🏿‍♂️	man pouting: ton dorcha craicinn
🙎🏿‍♂	man pouting: ton dorcha craicinn
🙎‍♀️	bean ag pouting
🙎‍♀	bean ag pouting
🙎🏻‍♀️	bean ag pouting: ton craicinn éadrom
🙎🏻‍♀	bean ag pouting: ton craicinn éadrom
🙎🏼‍♀️	bean ag pouting: ton craiceann meánach
🙎🏼‍♀	bean ag pouting: ton craiceann meánach
🙎🏽‍♀️	bean ag pouting: ton craiceann meánach
🙎🏽‍♀	bean ag pouting: ton craiceann meánach
🙎🏾‍♀️	bean ag pouting: ton craiceann meán-dorcha
🙎🏾‍♀	bean ag pouting: ton craiceann meán-dorcha
🙎🏿‍♀️	bean ag pouting: ton dorcha craicinn
🙎🏿‍♀	bean ag pouting: ton dorcha craicinn
🙅	duine gesuring NÍL
🙅🏻	duine ag déanamh gothaí NÍL: ton craiceann éadrom
🙅🏼	duine ag déanamh gothaí NÍL: ton craiceann meánach
🙅🏽	duine ag déanamh gothaí NÍL: ton meánach craicinn
🙅🏾	duine ag déanamh gothaí NÍL: ton craiceann meán-dorcha
🙅🏿	duine gesuring NÍL: ton dorcha craicinn
🙅‍♂️	fear gesuring NÍL
🙅‍♂	fear gesuring NÍL
🙅🏻‍♂️	fear gesuring NÍL: ton craicinn éadrom
🙅🏻‍♂	fear gesuring NÍL: ton craicinn éadrom
🙅🏼‍♂️	man gesuring NÍL: ton craiceann meán-éadrom
🙅🏼‍♂	man gesuring NÍL: ton craiceann meán-éadrom
🙅🏽‍♂️	fear gesuring NÍL: ton craiceann meánach
🙅🏽‍♂	fear gesuring NÍL: ton craiceann meánach
🙅🏾‍♂️	fear gesuring NÍL: ton craiceann meán-dorcha
🙅🏾‍♂	fear gesuring NÍL: ton craiceann meán-dorcha
🙅🏿‍♂️	fear gesuring NÍL: ton craicinn dorcha
🙅🏿‍♂	fear gesuring NÍL: ton craicinn dorcha
🙅‍♀️	bean gesuring NÍL
🙅‍♀	bean gesuring NÍL
🙅🏻‍♀️	bean gesuring NÍL: ton craicinn éadrom
🙅🏻‍♀	bean gesuring NÍL: ton craicinn éadrom
🙅🏼‍♀️	bean ag déanamh gothaí NÍL: ton craiceann meánach
🙅🏼‍♀	bean ag déanamh gothaí NÍL: ton craiceann meánach
🙅🏽‍♀️	bean gesuring NÍL: ton craiceann meánach
🙅🏽‍♀	bean gesuring NÍL: ton craiceann meánach
🙅🏾‍♀️	bean ag déanamh gothaí NÍL: ton craiceann meán-dorcha
🙅🏾‍♀	bean ag déanamh gothaí NÍL: ton craiceann meán-dorcha
🙅🏿‍♀️	bean gesuring NÍL: ton dorcha craicinn
🙅🏿‍♀	bean gesuring NÍL: ton dorcha craicinn
🙆	duine gesuring ceart go leor
🙆🏻	duine ag déanamh gothaí ceart go leor: ton craiceann éadrom
🙆🏼	duine ag déanamh aithrise OK: ton craiceann meánach
🙆🏽	duine ag déanamh gothaí ceart go leor: ton meánach craicinn
🙆🏾	duine ag déanamh gothaí ceart go leor: ton craiceann meán-dorcha
🙆🏿	duine ag déanamh gothaí ceart go leor: ton dorcha craicinn
🙆‍♂️	fear gesuring ceart go leor
🙆‍♂	fear gesuring ceart go leor
🙆🏻‍♂️	man gesuring OK: ton craicinn éadrom
🙆🏻‍♂	man gesuring OK: ton craicinn éadrom
🙆🏼‍♂️	Fearr ceart go leor: ton craiceann meánach
🙆🏼‍♂	Fearr ceart go leor: ton craiceann meánach
🙆🏽‍♂️	man gesuring OK: ton craiceann meánach
🙆🏽‍♂	man gesuring OK: ton craiceann meánach
🙆🏾‍♂️	man gesuring OK: ton craiceann meán-dorcha
🙆🏾‍♂	man gesuring OK: ton craiceann meán-dorcha
🙆🏿‍♂️	man gesuring OK: ton dorcha craicinn
🙆🏿‍♂	man gesuring OK: ton dorcha craicinn
🙆‍♀️	bean gesuring ceart go leor
🙆‍♀	bean gesuring ceart go leor
🙆🏻‍♀️	bean ag déanamh gothaí ceart go leor: ton craicinn éadrom
🙆🏻‍♀	bean ag déanamh gothaí ceart go leor: ton craicinn éadrom
🙆🏼‍♀️	Bean ag déanamh aithrise OK: ton craiceann meánach
🙆🏼‍♀	Bean ag déanamh aithrise OK: ton craiceann meánach
🙆🏽‍♀️	bean ag déanamh aithrise OK: ton meánach craicinn
🙆🏽‍♀	bean ag déanamh aithrise OK: ton meánach craicinn
🙆🏾‍♀️	bean ag déanamh aithrise OK: ton craiceann meán-dorcha
🙆🏾‍♀	bean ag déanamh aithrise OK: ton craiceann meán-dorcha
🙆🏿‍♀️	bean gesuring OK: ton dorcha craicinn
🙆🏿‍♀	bean gesuring OK: ton dorcha craicinn
💁	duine ag tipping lámh
💁🏻	duine ag tipping lámh: ton craicinn éadrom
💁🏼	duine ag tipping lámh: ton craiceann meánach
💁🏽	duine ag tipping lámh: ton craiceann meánach
💁🏾	duine ag tipping lámh: ton craiceann meán-dorcha
💁🏿	duine ag tipping lámh: ton dorcha craicinn
💁‍♂️	fear ag tipping lámh
💁‍♂	fear ag tipping lámh
💁🏻‍♂️	lámh tipping fear: ton craicinn éadrom
💁🏻‍♂	lámh tipping fear: ton craicinn éadrom
💁🏼‍♂️	lámh tipping fear: ton craiceann meánach
💁🏼‍♂	lámh tipping fear: ton craiceann meánach
💁🏽‍♂️	man tipping lámh: ton craiceann meánach
💁🏽‍♂	man tipping lámh: ton craiceann meánach
💁🏾‍♂️	lámh tipping fear: ton craiceann meán-dorcha
💁🏾‍♂	lámh tipping fear: ton craiceann meán-dorcha
💁🏿‍♂️	lámh tipping fear: ton craiceann dorcha
💁🏿‍♂	lámh tipping fear: ton craiceann dorcha
💁‍♀️	bean ag tipping lámh
💁‍♀	bean ag tipping lámh
💁🏻‍♀️	bean ag tipping lámh: ton craicinn éadrom
💁🏻‍♀	bean ag tipping lámh: ton craicinn éadrom
💁🏼‍♀️	bean ag tipping lámh: ton craiceann meánach
💁🏼‍♀	bean ag tipping lámh: ton craiceann meánach
💁🏽‍♀️	bean ag tipping lámh: ton craiceann meánach
💁🏽‍♀	bean ag tipping lámh: ton craiceann meánach
💁🏾‍♀️	bean ag tipping lámh: ton craiceann meán-dorcha
💁🏾‍♀	bean ag tipping lámh: ton craiceann meán-dorcha
💁🏿‍♀️	bean ag tipping lámh: ton craiceann dorcha
💁🏿‍♀	bean ag tipping lámh: ton craiceann dorcha
🙋	duine ag tógáil lámh
🙋🏻	duine lámh a ardú: ton craicinn éadrom
🙋🏼	duine lámh a ardú: ton craiceann meánach
🙋🏽	duine lámh a ardú: ton craiceann meánach
🙋🏾	duine lámh a ardú: ton craiceann meán-dorcha
🙋🏿	duine lámh a ardú: ton dorcha craicinn
🙋‍♂️	fear ag tógáil lámh
🙋‍♂	fear ag tógáil lámh
🙋🏻‍♂️	fear ardú láimhe: ton craicinn éadrom
🙋🏻‍♂	fear ardú láimhe: ton craicinn éadrom
🙋🏼‍♂️	lámh a ardú: ton craiceann meánach
🙋🏼‍♂	lámh a ardú: ton craiceann meánach
🙋🏽‍♂️	lámh a ardú: ton craiceann meánach
🙋🏽‍♂	lámh a ardú: ton craiceann meánach
🙋🏾‍♂️	lámh a ardú: ton craiceann meánach dorcha
🙋🏾‍♂	lámh a ardú: ton craiceann meánach dorcha
🙋🏿‍♂️	lámh a ardú: ton dorcha craicinn
🙋🏿‍♂	lámh a ardú: ton dorcha craicinn
🙋‍♀️	bean ag tógáil lámh
🙋‍♀	bean ag tógáil lámh
🙋🏻‍♀️	bean ag ardú láimhe: ton craicinn éadrom
🙋🏻‍♀	bean ag ardú láimhe: ton craicinn éadrom
🙋🏼‍♀️	bean ag ardú láimhe: ton craiceann meánach
🙋🏼‍♀	bean ag ardú láimhe: ton craiceann meánach
