😀	išsišiepęs veidas
👷🏼‍♀	moteris statybininkė: vidutinio šviesumo odos atspalvis
👷🏽‍♀️	moteris statybininkė: vidutinio atspalvio oda
👷🏽‍♀	moteris statybininkė: vidutinio atspalvio oda
👷🏾‍♀️	moteris statybininkė: vidutinio tamsumo odos atspalvis
👷🏾‍♀	moteris statybininkė: vidutinio tamsumo odos atspalvis
👷🏿‍♀️	moteris statybininkė: tamsios odos
👷🏿‍♀	moteris statybininkė: tamsios odos
🤴	princas
🤴🏻	princas: šviesus odos atspalvis
🤴🏼	princas: vidutinio šviesumo odos atspalvis
🤴🏽	princas: vidutinio odos atspalvio
🤴🏾	princas: vidutiniškai tamsus odos atspalvis
🤴🏿	princas: tamsus odos atspalvis
👸	princesė
👸🏻	princesė: šviesus odos atspalvis
👸🏼	princesė: vidutinio šviesumo odos atspalvis
👸🏽	princesė: vidutinis odos atspalvis
👸🏾	princesė: vidutiniškai tamsus odos atspalvis
👸🏿	princesė: tamsus odos tonas
👳	turbaną dėvintis asmuo
👳🏻	turbaną dėvintis asmuo: šviesus odos atspalvis
👳🏼	turbaną dėvintis asmuo: vidutinio šviesumo odos atspalvis
👳🏽	turbaną dėvintis asmuo: vidutinio atspalvio oda
👳🏾	asmuo, dėvintis turbaną: vidutiniškai tamsus odos atspalvis
👳🏿	turbaną dėvintis asmuo: tamsus odos atspalvis
👳‍♂️	vyras, dėvintis turbaną
👳‍♂	vyras, dėvintis turbaną
👳🏻‍♂️	vyras, dėvintis turbaną: šviesios odos
👳🏻‍♂	vyras, dėvintis turbaną: šviesios odos
👳🏼‍♂️	vyras, dėvintis turbaną: vidutinio šviesumo odos atspalvis
👳🏼‍♂	vyras, dėvintis turbaną: vidutinio šviesumo odos atspalvis
👳🏽‍♂️	vyras, dėvintis turbaną: vidutinis odos atspalvis
👳🏽‍♂	vyras, dėvintis turbaną: vidutinis odos atspalvis
👳🏾‍♂️	vyras, dėvintis turbaną: vidutiniškai tamsus odos atspalvis
👳🏾‍♂	vyras, dėvintis turbaną: vidutiniškai tamsus odos atspalvis
👳🏿‍♂️	vyras, dėvintis turbaną: tamsus odos atspalvis
👳🏿‍♂	vyras, dėvintis turbaną: tamsus odos atspalvis
👳‍♀️	moteris dėvi turbaną
👳‍♀	moteris dėvi turbaną
👳🏻‍♀️	moteris dėvi turbaną: šviesios odos
👳🏻‍♀	moteris dėvi turbaną: šviesios odos
👳🏼‍♀️	moteris dėvi turbaną: vidutinio šviesumo odos atspalvis
👳🏼‍♀	moteris dėvi turbaną: vidutinio šviesumo odos atspalvis
👳🏽‍♀️	moteris dėvi turbaną: vidutinio atspalvio oda
👳🏽‍♀	moteris dėvi turbaną: vidutinio atspalvio oda
👳🏾‍♀️	moteris dėvi turbaną: vidutinio tamsumo odos atspalvis
👳🏾‍♀	moteris dėvi turbaną: vidutinio tamsumo odos atspalvis
👳🏿‍♀️	moteris dėvi turbaną: tamsus odos atspalvis
👳🏿‍♀	moteris dėvi turbaną: tamsus odos atspalvis
👲	vyras su kiniška kepure
👲🏻	vyras su kiniška kepure: šviesios odos atspalvis
👲🏼	vyras su kiniška kepuraite: vidutinio šviesumo odos atspalvis
👲🏽	vyras su kiniška kepure: vidutinio atspalvio oda
👲🏾	vyras su kiniška kepure: vidutiniškai tamsus odos atspalvis
👲🏿	vyras su kiniška kepure: tamsus odos atspalvis
🧕	moteris su skarele
🧕🏻	moteris su skarele: šviesios odos
🧕🏼	moteris su skarele: vidutinio šviesumo odos atspalvis
🧕🏽	moteris su skarele: vidutinio atspalvio oda
🧕🏾	moteris su skarele: vidutiniškai tamsus odos atspalvis
🧕🏿	moteris su skarele: tamsus odos atspalvis
🧔	barzdotas žmogus
🧔🏻	Barzdotas žmogus: šviesus odos atspalvis
🧔🏼	Barzdotas žmogus: vidutinio šviesumo odos atspalvis
🧔🏽	Barzdotas žmogus: vidutinio odos atspalvio
🧔🏾	Barzdotas žmogus: vidutiniškai tamsus odos atspalvis
🧔🏿	barzdotas žmogus: tamsus odos atspalvis
👱	šviesiaplaukis žmogus
👱🏻	šviesiaplaukis: šviesus odos atspalvis
👱🏼	šviesiaplaukis žmogus: vidutinio šviesumo odos atspalvis
👱🏽	šviesiaplaukis: vidutinio atspalvio oda
👱🏾	šviesiaplaukis žmogus: vidutiniškai tamsus odos atspalvis
👱🏿	šviesiaplaukis žmogus: tamsus odos atspalvis
👱‍♂️	šviesiaplaukis vyras
👱‍♂	šviesiaplaukis vyras
👱🏻‍♂️	šviesiaplaukis vyras: šviesus odos atspalvis
👱🏻‍♂	šviesiaplaukis vyras: šviesus odos atspalvis
👱🏼‍♂️	šviesiaplaukis vyras: vidutinio šviesumo odos atspalvis
👱🏼‍♂	šviesiaplaukis vyras: vidutinio šviesumo odos atspalvis
👱🏽‍♂️	šviesiaplaukis vyras: vidutinio odos atspalvio
👱🏽‍♂	šviesiaplaukis vyras: vidutinio odos atspalvio
👱🏾‍♂️	šviesiaplaukis vyras: vidutiniškai tamsus odos atspalvis
👱🏾‍♂	šviesiaplaukis vyras: vidutiniškai tamsus odos atspalvis
👱🏿‍♂️	šviesiaplaukis vyras: tamsus odos atspalvis
👱🏿‍♂	šviesiaplaukis vyras: tamsus odos atspalvis
👱‍♀️	šviesiaplaukė moteris
👱‍♀	šviesiaplaukė moteris
👱🏻‍♀️	šviesiaplaukė moteris: šviesios odos
👱🏻‍♀	šviesiaplaukė moteris: šviesios odos
👱🏼‍♀️	šviesiaplaukė moteris: vidutinio šviesumo odos atspalvis
👱🏼‍♀	šviesiaplaukė moteris: vidutinio šviesumo odos atspalvis
👱🏽‍♀️	šviesiaplaukė moteris: vidutinio atspalvio oda
👱🏽‍♀	šviesiaplaukė moteris: vidutinio atspalvio oda
👱🏾‍♀️	šviesiaplaukė moteris: vidutiniškai tamsus odos atspalvis
👱🏾‍♀	šviesiaplaukė moteris: vidutiniškai tamsus odos atspalvis
👱🏿‍♀️	šviesiaplaukė moteris: tamsus odos atspalvis
👱🏿‍♀	šviesiaplaukė moteris: tamsus odos atspalvis
👨‍🦰	vyras, raudonplaukis
👨🏻‍🦰	vyras, raudonplaukis: šviesios odos
👨🏼‍🦰	vyras, raudonplaukis: vidutinio šviesumo odos atspalvis
👨🏽‍🦰	vyras, raudonplaukis: vidutinio odos atspalvio
👨🏾‍🦰	vyras, raudonplaukis: vidutiniškai tamsus odos atspalvis
👨🏿‍🦰	vyras, raudonplaukis: tamsus odos atspalvis
👩‍🦰	moteris, raudonplaukė
👩🏻‍🦰	moteris, raudonplaukė: šviesios odos
👩🏼‍🦰	moteris, raudonplaukė: vidutinio šviesumo odos atspalvis
👩🏽‍🦰	moteris, raudonplaukė: vidutinio odos atspalvio
👩🏾‍🦰	moteris, raudonplaukė: vidutiniškai tamsus odos atspalvis
👩🏿‍🦰	moteris, raudonplaukė: tamsios odos
👨‍🦱	vyras, garbanotais plaukais
👨🏻‍🦱	vyras, garbanotais plaukais: šviesios odos
👨🏼‍🦱	vyras, garbanotais plaukais: vidutinio šviesumo odos atspalvis
👨🏽‍🦱	vyras, garbanotais plaukais: vidutinio odos atspalvio
👨🏾‍🦱	vyras, garbanotais plaukais: vidutiniškai tamsus odos atspalvis
👨🏿‍🦱	vyras, garbanotais plaukais: tamsus odos atspalvis
👩‍🦱	moteris, garbanotais plaukais
👩🏻‍🦱	moteris, garbanoti plaukai: šviesios odos
👩🏼‍🦱	moteris, garbanoti plaukai: vidutinio šviesumo odos atspalvis
👩🏽‍🦱	moteris, garbanoti plaukai: vidutinio odos atspalvio
👩🏾‍🦱	moteris, garbanoti plaukai: vidutiniškai tamsus odos atspalvis
👩🏿‍🦱	moteris, garbanoti plaukai: tamsus odos atspalvis
👨‍🦲	vyras, plikas
👨🏻‍🦲	vyras, plikas: šviesus odos atspalvis
👨🏼‍🦲	vyras, plikas: vidutinio šviesumo odos atspalvis
👨🏽‍🦲	vyras, plikas: vidutinio odos atspalvio
👨🏾‍🦲	vyras, plikas: vidutiniškai tamsus odos atspalvis
👨🏿‍🦲	vyras, plikas: tamsus odos atspalvis
👩‍🦲	moteris, plika
👩🏻‍🦲	moteris, plika: šviesios odos
👩🏼‍🦲	moteris, plika: vidutinio šviesumo odos atspalvis
👩🏽‍🦲	moteris, plika: vidutinio atspalvio
👩🏾‍🦲	moteris, plika: vidutiniškai tamsus odos atspalvis
👩🏿‍🦲	moteris, plika: tamsus odos atspalvis
👨‍🦳	vyras, baltaplaukis
👨🏻‍🦳	vyras, baltaplaukis: šviesios odos
👨🏼‍🦳	vyras, baltaplaukis: vidutinio šviesumo odos atspalvis
👨🏽‍🦳	vyras, baltaplaukis: vidutinio odos atspalvio
👨🏾‍🦳	vyras, baltaplaukis: vidutiniškai tamsus odos atspalvis
👨🏿‍🦳	vyras, baltaplaukis: tamsios odos
👩‍🦳	moteris, baltaplaukė
👩🏻‍🦳	moteris, baltaplaukė: šviesios odos
👩🏼‍🦳	moteris, baltaplaukė: vidutinio šviesumo odos atspalvis
👩🏽‍🦳	moteris, baltaplaukė: vidutinio odos atspalvio
👩🏾‍🦳	moteris, baltaplaukė: vidutiniškai tamsus odos atspalvis
👩🏿‍🦳	moteris, baltaplaukė: tamsios odos
🤵	vyras smokingu
🤵🏻	vyras smokingu: šviesus odos atspalvis
🤵🏼	vyras smokingu: vidutinio šviesumo odos atspalvis
🤵🏽	vyras smokingu: vidutinio atspalvio oda
🤵🏾	vyras smokingu: vidutiniškai tamsus odos atspalvis
🤵🏿	vyras smokingu: tamsus odos atspalvis
👰	nuotaka su šydu
👰🏻	nuotaka su šydu: šviesus odos atspalvis
👰🏼	nuotaka su šydu: vidutinio šviesumo odos atspalvis
👰🏽	nuotaka su šydu: vidutinio odos atspalvio
👰🏾	nuotaka su šydu: vidutiniškai tamsus odos atspalvis
👰🏿	nuotaka su šydu: tamsus odos atspalvis
🤰	nėščia moteris
🤰🏻	nėščia moteris: šviesios odos
🤰🏼	nėščia moteris: vidutinio šviesumo odos atspalvis
🤰🏽	nėščia moteris: vidutinio atspalvio oda
🤰🏾	nėščia moteris: vidutiniškai tamsus odos atspalvis
🤰🏿	nėščia moteris: tamsus odos atspalvis
🤱	žindymas
🤱🏻	žindymo laikotarpis: šviesus odos atspalvis
🤱🏼	žindymas: vidutinio šviesumo odos atspalvis
🤱🏽	žindymas: vidutinio odos atspalvio
🤱🏾	žindymo laikotarpis: vidutiniškai tamsus odos atspalvis
🤱🏿	žindymas: tamsus odos atspalvis
👼	angelas kūdikis
👼🏻	kūdikis angelas: šviesus odos atspalvis
👼🏼	kūdikis angelas: vidutinio šviesumo odos atspalvis
👼🏽	angelas kūdikis: vidutinis odos atspalvis
👼🏾	kūdikis angelas: vidutiniškai tamsus odos atspalvis
👼🏿	kūdikis angelas: tamsus odos tonas
🎅	Kalėdų Senelis
🎅🏻	Kalėdų Senelis: šviesus odos atspalvis
🎅🏼	Kalėdų Senelis: vidutinio šviesumo odos atspalvis
🎅🏽	Kalėdų Senelis: vidutinio odos atspalvio
🎅🏾	Kalėdų Senelis: vidutiniškai tamsus odos atspalvis
🎅🏿	Kalėdų Senelis: tamsus odos atspalvis
🤶	Ponia Klaus
🤶🏻	Ponia Claus: šviesus odos atspalvis
🤶🏼	Ponia Claus: vidutinio šviesumo odos atspalvis
🤶🏽	Ponia Claus: vidutinio odos atspalvio
🤶🏾	Ponia Claus: vidutiniškai tamsus odos atspalvis
🤶🏿	Ponia Claus: tamsus odos atspalvis
🦸	Super herojus
🦸🏻	superherojus: šviesus odos atspalvis
🦸🏼	superherojus: vidutinio šviesumo odos atspalvis
🦸🏽	superherojus: vidutinio odos atspalvio
🦸🏾	superherojus: vidutiniškai tamsus odos atspalvis
🦸🏿	superherojus: tamsus odos tonas
🦸‍♀️	moteris superherojus
🦸‍♀	moteris superherojė
🦸🏻‍♀️	moteris superherojė: šviesus odos atspalvis
🦸🏻‍♀	moteris superherojė: šviesus odos atspalvis
🦸🏼‍♀️	moteris superherojė: vidutinio šviesumo odos atspalvis
🦸🏼‍♀	moteris superherojė: vidutinio šviesumo odos atspalvis
🦸🏽‍♀️	moteris superherojė: vidutinio odos atspalvio
🦸🏽‍♀	moteris superherojė: vidutinis odos atspalvis
🦸🏾‍♀️	moteris superherojė: vidutiniškai tamsus odos atspalvis
🦸🏾‍♀	moteris superherojė: vidutiniškai tamsus odos atspalvis
🦸🏿‍♀️	moteris superherojė: tamsus odos atspalvis
🦸🏿‍♀	moteris superherojė: tamsus odos atspalvis
🦸‍♂️	vyras superherojus
🦸‍♂	vyras superherojus
🦸🏻‍♂️	vyras superherojus: šviesus odos atspalvis
🦸🏻‍♂	vyras superherojus: šviesus odos atspalvis
🦸🏼‍♂️	vyras superherojus: vidutinio šviesumo odos atspalvis
🦸🏼‍♂	vyras superherojus: vidutinio šviesumo odos atspalvis
🦸🏽‍♂️	vyras superherojus: vidutinio odos atspalvio
🦸🏽‍♂	vyras superherojus: vidutinio odos atspalvio
🦸🏾‍♂️	vyras superherojus: vidutiniškai tamsus odos atspalvis
🦸🏾‍♂	vyras superherojus: vidutiniškai tamsus odos atspalvis
🦸🏿‍♂️	vyras superherojus: tamsus odos atspalvis
🦸🏿‍♂	vyras superherojus: tamsus odos atspalvis
🦹	superpiktininkas
🦹🏻	supervillain: šviesus odos atspalvis
🦹🏼	supervillain: vidutinio šviesumo odos atspalvis
🦹🏽	Supervillain: vidutinio odos atspalvio
🦹🏾	supervillain: vidutiniškai tamsus odos atspalvis
🦹🏿	superblogietis: tamsus odos atspalvis
🦹‍♀️	moteris superblogietė
🦹‍♀	moteris superblogietė
🦹🏻‍♀️	moteris super piktadaris: šviesus odos atspalvis
🦹🏻‍♀	moteris super piktadaris: šviesus odos atspalvis
🦹🏼‍♀️	moteris superblogė: vidutinio šviesumo odos atspalvis
🦹🏼‍♀	moteris superblogė: vidutinio šviesumo odos atspalvis
🦹🏽‍♀️	moteris super piktadaris: vidutinio odos atspalvio
🦹🏽‍♀	moteris super piktadaris: vidutinio odos atspalvio
🦹🏾‍♀️	moteris superblogė: vidutiniškai tamsus odos atspalvis
🦹🏾‍♀	moteris superblogė: vidutiniškai tamsus odos atspalvis
🦹🏿‍♀️	moteris super piktadarė: tamsus odos atspalvis
🦹🏿‍♀	moteris superpiktininkė: tamsus odos atspalvis
🦹‍♂️	vyras superblogietis
🦹‍♂	vyras superblogietis
🦹🏻‍♂️	vyras superblogietis: šviesus odos atspalvis
🦹🏻‍♂	vyras superblogietis: šviesus odos atspalvis
🦹🏼‍♂️	vyras superblogietis: vidutinio šviesumo odos atspalvis
🦹🏼‍♂	vyras superblogietis: vidutinio šviesumo odos atspalvis
🦹🏽‍♂️	vyras superblogietis: vidutinis odos atspalvis
🦹🏽‍♂	vyras superblogietis: vidutinis odos atspalvis
🦹🏾‍♂️	vyras superblogietis: vidutiniškai tamsus odos atspalvis
🦹🏾‍♂	vyras superblogietis: vidutiniškai tamsus odos atspalvis
🦹🏿‍♂️	vyras superblogietis: tamsus odos atspalvis
🦹🏿‍♂	vyras superblogietis: tamsus odos atspalvis
🧙	magas
🧙🏻	mage: šviesus odos tonas
🧙🏼	mage: vidutinio šviesumo odos atspalvis
🧙🏽	magas: vidutinio odos atspalvio
🧙🏾	mage: vidutiniškai tamsus odos atspalvis
🧙🏿	magas: tamsus odos atspalvis
🧙‍♀️	moteris magas
🧙‍♀	moteris magas
🧙🏻‍♀️	moteris magas: šviesus odos atspalvis
🧙🏻‍♀	moteris magas: šviesus odos atspalvis
🧙🏼‍♀️	moteris magas: vidutinio šviesumo odos atspalvis
🧙🏼‍♀	moteris magas: vidutinio šviesumo odos atspalvis
🧙🏽‍♀️	moteris magas: vidutinio odos atspalvio
🧙🏽‍♀	moteris magas: vidutinio odos atspalvio
🧙🏾‍♀️	moteris magas: vidutiniškai tamsus odos atspalvis
🧙🏾‍♀	moteris magas: vidutiniškai tamsus odos atspalvis
🧙🏿‍♀️	moteris magas: tamsus odos atspalvis
🧙🏿‍♀	moteris magas: tamsus odos atspalvis
🧙‍♂️	žmogus magas
🧙‍♂	žmogus magas
🧙🏻‍♂️	žmogus magas: šviesus odos atspalvis
🧙🏻‍♂	žmogus magas: šviesus odos atspalvis
🧙🏼‍♂️	žmogus magas: vidutinio šviesumo odos atspalvis
🧙🏼‍♂	žmogus magas: vidutinio šviesumo odos atspalvis
🧙🏽‍♂️	žmogus magas: vidutinio odos atspalvio
🧙🏽‍♂	žmogus magas: vidutinio odos atspalvio
🧙🏾‍♂️	žmogus magas: vidutiniškai tamsus odos atspalvis
🧙🏾‍♂	žmogus magas: vidutiniškai tamsus odos atspalvis
🧙🏿‍♂️	žmogus magas: tamsus odos atspalvis
🧙🏿‍♂	žmogus magas: tamsus odos atspalvis
🧚	fėja
🧚🏻	fėja: šviesus odos tonas
🧚🏼	fėja: vidutinio šviesumo odos atspalvis
🧚🏽	fėja: vidutinio odos atspalvio
🧚🏾	fėja: vidutiniškai tamsus odos atspalvis
🧚🏿	fėja: tamsus odos atspalvis
🧚‍♀️	moteris fėja
🧚‍♀	moteris fėja
🧚🏻‍♀️	moteris fėja: šviesus odos atspalvis
🧚🏻‍♀	moteris fėja: šviesus odos atspalvis
🧚🏼‍♀️	moteris fėja: vidutinio šviesumo odos atspalvis
🧚🏼‍♀	moteris fėja: vidutinio šviesumo odos atspalvis
🧚🏽‍♀️	moteris fėja: vidutinio odos atspalvio
🧚🏽‍♀	moteris fėja: vidutinio odos atspalvio
🧚🏾‍♀️	moteris fėja: vidutiniškai tamsus odos atspalvis
🧚🏾‍♀	moteris fėja: vidutiniškai tamsus odos atspalvis
🧚🏿‍♀️	moteris fėja: tamsus odos atspalvis
🧚🏿‍♀	moteris fėja: tamsus odos atspalvis
🧚‍♂️	vyras fėja
🧚‍♂	vyras fėja
🧚🏻‍♂️	vyras fėja: šviesus odos atspalvis
🧚🏻‍♂	vyras fėja: šviesus odos atspalvis
🧚🏼‍♂️	vyras fėja: vidutinio šviesumo odos atspalvis
🧚🏼‍♂	vyras fėja: vidutinio šviesumo odos atspalvis
🧚🏽‍♂️	vyras fėja: vidutinio odos atspalvio
🧚🏽‍♂	vyras fėja: vidutinis odos atspalvis
🧚🏾‍♂️	vyras fėja: vidutiniškai tamsus odos atspalvis
🧚🏾‍♂	vyras fėja: vidutiniškai tamsus odos atspalvis
🧚🏿‍♂️	vyras fėja: tamsus odos atspalvis
🧚🏿‍♂	vyras fėja: tamsus odos atspalvis
🧛	vampyras
🧛🏻	vampyras: šviesus odos atspalvis
🧛🏼	vampyras: vidutinio šviesumo odos atspalvis
🧛🏽	vampyras: vidutinio odos atspalvio
🧛🏾	vampyras: vidutiniškai tamsus odos atspalvis
🧛🏿	vampyras: tamsus odos atspalvis
🧛‍♀️	moteris vampyrė
🧛‍♀	moteris vampyrė
🧛🏻‍♀️	moteris vampyrė: šviesios odos
🧛🏻‍♀	moteris vampyrė: šviesios odos
🧛🏼‍♀️	moteris vampyrė: vidutinio šviesumo odos atspalvis
🧛🏼‍♀	moteris vampyrė: vidutinio šviesumo odos atspalvis
🧛🏽‍♀️	moteris vampyrė: vidutinio odos atspalvio
🧛🏽‍♀	moteris vampyrė: vidutinio odos atspalvio
🧛🏾‍♀️	moteris vampyrė: vidutiniškai tamsus odos atspalvis
🧛🏾‍♀	moteris vampyrė: vidutiniškai tamsus odos atspalvis
🧛🏿‍♀️	moteris vampyrė: tamsus odos atspalvis
🧛🏿‍♀	moteris vampyrė: tamsus odos atspalvis
🧛‍♂️	vyras vampyras
🧛‍♂	vyras vampyras
🧛🏻‍♂️	vyras vampyras: šviesus odos atspalvis
🧛🏻‍♂	vyras vampyras: šviesus odos atspalvis
🧛🏼‍♂️	vyras vampyras: vidutinio šviesumo odos atspalvis
🧛🏼‍♂	vyras vampyras: vidutinio šviesumo odos atspalvis
🧛🏽‍♂️	vyras vampyras: vidutinio odos atspalvio
🧛🏽‍♂	vyras vampyras: vidutinio odos atspalvio
🧛🏾‍♂️	vyras vampyras: vidutiniškai tamsus odos atspalvis
🧛🏾‍♂	vyras vampyras: vidutiniškai tamsus odos atspalvis
🧛🏿‍♂️	vyras vampyras: tamsus odos atspalvis
🧛🏿‍♂	vyras vampyras: tamsus odos atspalvis
🧜	merperson
🧜🏻	merperson: šviesus odos atspalvis
🧜🏼	merperson: vidutinio šviesumo odos atspalvis
🧜🏽	merperson: vidutinis odos atspalvis
🧜🏾	merperson: vidutiniškai tamsus odos atspalvis
🧜🏿	merperson: tamsus odos tonas
🧜‍♀️	undinė
🧜‍♀	undinė
🧜🏻‍♀️	undinė: šviesus odos atspalvis
🧜🏻‍♀	undinė: šviesus odos atspalvis
🧜🏼‍♀️	undinė: vidutinio šviesumo odos atspalvis
🧜🏼‍♀	undinė: vidutinio šviesumo odos atspalvis
🧜🏽‍♀️	undinė: vidutinio odos atspalvio
🧜🏽‍♀	undinė: vidutinio odos atspalvio
🧜🏾‍♀️	undinė: vidutiniškai tamsus odos atspalvis
🧜🏾‍♀	undinė: vidutiniškai tamsus odos atspalvis
🧜🏿‍♀️	undinė: tamsus odos atspalvis
🧜🏿‍♀	undinė: tamsus odos atspalvis
🧜‍♂️	mermanas
🧜‍♂	mermanas
🧜🏻‍♂️	mermanas: šviesus odos atspalvis
🧜🏻‍♂	mermanas: šviesus odos atspalvis
🧜🏼‍♂️	Merman: vidutinio šviesumo odos atspalvis
🧜🏼‍♂	Merman: vidutinio šviesumo odos atspalvis
🧜🏽‍♂️	merman: vidutinis odos atspalvis
🧜🏽‍♂	merman: vidutinis odos atspalvis
🧜🏾‍♂️	merman: vidutiniškai tamsus odos atspalvis
🧜🏾‍♂	merman: vidutiniškai tamsus odos atspalvis
🧜🏿‍♂️	mermanas: tamsus odos atspalvis
🧜🏿‍♂	mermanas: tamsus odos atspalvis
🧝	elfas
🧝🏻	elfas: šviesus odos atspalvis
🧝🏼	elfas: vidutinio šviesumo odos atspalvis
🧝🏽	elfas: vidutinis odos atspalvis
🧝🏾	elfas: vidutiniškai tamsus odos atspalvis
🧝🏿	elfas: tamsus odos tonas
🧝‍♀️	moteris elfa
🧝‍♀	moteris elfa
🧝🏻‍♀️	moteris elfa: šviesios odos
🧝🏻‍♀	moteris elfa: šviesios odos
🧝🏼‍♀️	moteris elfa: vidutinio šviesumo odos atspalvis
🧝🏼‍♀	moteris elfa: vidutinio šviesumo odos atspalvis
🧝🏽‍♀️	moteris elfa: vidutinis odos atspalvis
🧝🏽‍♀	moteris elfa: vidutinis odos atspalvis
🧝🏾‍♀️	moteris elfa: vidutiniškai tamsus odos atspalvis
🧝🏾‍♀	moteris elfa: vidutiniškai tamsus odos atspalvis
🧝🏿‍♀️	moteris elfa: tamsus odos atspalvis
🧝🏿‍♀	moteris elfa: tamsus odos atspalvis
🧝‍♂️	vyras elfas
🧝‍♂	vyras elfas
🧝🏻‍♂️	vyras elfas: šviesus odos atspalvis
🧝🏻‍♂	vyras elfas: šviesus odos atspalvis
🧝🏼‍♂️	vyras elfas: vidutinio šviesumo odos atspalvis
🧝🏼‍♂	vyras elfas: vidutinio šviesumo odos atspalvis
🧝🏽‍♂️	vyras elfas: vidutinis odos atspalvis
🧝🏽‍♂	vyras elfas: vidutinis odos atspalvis
🧝🏾‍♂️	vyras elfas: vidutiniškai tamsus odos atspalvis
🧝🏾‍♂	vyras elfas: vidutiniškai tamsus odos atspalvis
🧝🏿‍♂️	vyras elfas: tamsus odos atspalvis
🧝🏿‍♂	vyras elfas: tamsus odos atspalvis
🧞	džinas
🧞‍♀️	moteris džinas
🧞‍♀	moteris džinas
🧞‍♂️	vyras džinas
🧞‍♂	vyras džinas
🧟	zombis
🧟‍♀️	moteris zombie
🧟‍♀	moteris zombie
🧟‍♂️	žmogus zombis
🧟‍♂	žmogus zombis
🙍	žmogus susiraukė
🙍🏻	žmogus susiraukęs: šviesios odos atspalvis
🙍🏼	susiraukęs žmogus: vidutinio šviesumo odos atspalvis
🙍🏽	susiraukęs žmogus: vidutinis odos atspalvis
🙍🏾	žmogus susiraukęs: vidutiniškai tamsus odos atspalvis
🙍🏿	žmogus susiraukęs: tamsus odos atspalvis
🙍‍♂️	vyras susiraukęs
🙍‍♂	vyras susiraukęs
🙍🏻‍♂️	vyras susiraukęs: šviesios odos atspalvis
🙍🏻‍♂	vyras susiraukęs: šviesios odos atspalvis
🙍🏼‍♂️	vyras susiraukęs: vidutinio šviesumo odos atspalvis
🙍🏼‍♂	vyras susiraukęs: vidutinio šviesumo odos atspalvis
🙍🏽‍♂️	vyras susiraukęs: vidutinis odos atspalvis
🙍🏽‍♂	vyras susiraukęs: vidutinis odos atspalvis
🙍🏾‍♂️	vyras susiraukęs: vidutiniškai tamsus odos atspalvis
🙍🏾‍♂	vyras susiraukęs: vidutiniškai tamsus odos atspalvis
🙍🏿‍♂️	vyras susiraukęs: tamsus odos atspalvis
🙍🏿‍♂	vyras susiraukęs: tamsus odos atspalvis
🙍‍♀️	moteris susiraukusi
🙍‍♀	moteris susiraukusi
🙍🏻‍♀️	moteris susiraukusi: šviesios odos
🙍🏻‍♀	moteris susiraukusi: šviesios odos
🙍🏼‍♀️	moteris susiraukusi: vidutinio šviesumo odos atspalvis
🙍🏼‍♀	moteris susiraukusi: vidutinio šviesumo odos atspalvis
🙍🏽‍♀️	moteris susiraukusi: vidutinio odos atspalvio
🙍🏽‍♀	moteris susiraukusi: vidutinio odos atspalvio
🙍🏾‍♀️	moteris susiraukusi: vidutiniškai tamsus odos atspalvis
🙍🏾‍♀	moteris susiraukusi: vidutiniškai tamsus odos atspalvis
🙍🏿‍♀️	moteris susiraukusi: tamsus odos atspalvis
🙍🏿‍♀	moteris susiraukusi: tamsus odos atspalvis
🙎	žmogus pūkuoja
🙎🏻	žmogus pūkuoja: šviesus odos atspalvis
🙎🏼	žmogus pūkuoja: vidutinio šviesumo odos atspalvis
🙎🏽	žmogus pūkuoja: vidutinis odos atspalvis
🙎🏾	žmogus pūkuoja: vidutiniškai tamsus odos atspalvis
🙎🏿	žmogus pūkuoja: tamsus odos atspalvis
🙎‍♂️	vyras pūkuojasi
🙎‍♂	vyras pūkuojasi
🙎🏻‍♂️	vyras pūkuoja: šviesus odos atspalvis
🙎🏻‍♂	vyras pūkuoja: šviesus odos atspalvis
🙎🏼‍♂️	vyras pūkuoja: vidutiniškai šviesus odos atspalvis
🙎🏼‍♂	vyras pūkuoja: vidutiniškai šviesus odos atspalvis
🙎🏽‍♂️	vyras pūkuoja: vidutinis odos atspalvis
🙎🏽‍♂	vyras pūkuoja: vidutinis odos atspalvis
🙎🏾‍♂️	vyras pūkuoja: vidutiniškai tamsus odos atspalvis
🙎🏾‍♂	vyras pūkuoja: vidutiniškai tamsus odos atspalvis
🙎🏿‍♂️	vyras pūkuoja: tamsus odos atspalvis
🙎🏿‍♂	vyras pūkuoja: tamsus odos atspalvis
🙎‍♀️	moteris išsipūtusi
🙎‍♀	moteris išsipūtusi
🙎🏻‍♀️	moteris pūkuoja: šviesios odos
🙎🏻‍♀	moteris pūkuoja: šviesios odos
🙎🏼‍♀️	moteris pūkuoja: vidutinio šviesumo odos atspalvis
🙎🏼‍♀	moteris pūkuoja: vidutinio šviesumo odos atspalvis
🙎🏽‍♀️	moteris pūkuoja: vidutinis odos atspalvis
🙎🏽‍♀	moteris pūkuoja: vidutinis odos atspalvis
🙎🏾‍♀️	moteris pūkuoja: vidutiniškai tamsus odos atspalvis
🙎🏾‍♀	moteris pūkuoja: vidutiniškai tamsus odos atspalvis
🙎🏿‍♀️	moteris pūkuoja: tamsus odos atspalvis
🙎🏿‍♀	moteris pūkuoja: tamsus odos atspalvis
🙅	asmuo gestikuliuoja NE
🙅🏻	asmuo, gestikuliuojantis NE: šviesus odos atspalvis
