😀	hmel nuihzatthlak tak
👷🏿‍♂	mipa in sak hnathawk: vun rawng dum
👷‍♀️	hmeichhe in sak hna thawk
👷‍♀	hmeichhe in sak hna thawk
👷🏻‍♀️	hmeichhe in sak hnathawk: vun rawng hring
👷🏻‍♀	hmeichhe in sak hnathawk: vun rawng hring
👷🏼‍♀️	hmeichhe in sak hnathawk: vun rawng (medium-light skin tone).
👷🏼‍♀	hmeichhe in sak hnathawk: vun rawng (medium-light skin tone).
👷🏽‍♀️	hmeichhe in sak hnathawk: vun rawng (medium skin tone).
👷🏽‍♀	hmeichhe in sak hnathawk: vun rawng (medium skin tone).
👷🏾‍♀️	hmeichhe in sak hnathawk: vun rawng (medium-dark skin tone).
👷🏾‍♀	hmeichhe in sak hnathawk: vun rawng (medium-dark skin tone).
👷🏿‍♀️	hmeichhe in sak hnathawk: vun rawng dum
👷🏿‍♀	hmeichhe in sak hnathawk: vun rawng dum
🤴	lal fapa
🤴🏻	prince: vun rawng hring
🤴🏼	prince: vun rawng hring (medium-light skin tone) a ni
🤴🏽	prince: vun rawng (medium skin tone) a ni
🤴🏾	prince: vun rawng dum (medium-dark skin tone) a ni
🤴🏿	prince: vun dum hring
👸	lal fanu
👸🏻	princess: vun rawng hring
👸🏼	princess: vun rawng hring (medium-light skin tone) a ni
👸🏽	princess: vun rawng (medium skin tone) a ni
👸🏾	princess: vun rawng dum (medium-dark skin tone) a ni
👸🏿	princess: vun dum hring
👳	mi pakhat turban ha
👳🏻	mi turban ha: vun rawng hring
👳🏼	mi turban ha: vun rawng (medium-light skin tone).
👳🏽	mi turban ha: vun rawng (medium skin tone).
👳🏾	turban ha mi: vun rawng dum (medium-dark skin tone).
👳🏿	turban ha mi: vun rawng dum
👳‍♂️	mipa turban ha
👳‍♂	mipa turban ha
👳🏻‍♂️	mipa turban ha: vun rawng hring
👳🏻‍♂	mipa turban ha: vun rawng hring
👳🏼‍♂️	mipa turban ha: vun rawng chu medium-light
👳🏼‍♂	mipa turban ha: vun rawng chu medium-light
👳🏽‍♂️	mipa turban ha: vun rawng (medium skin tone).
👳🏽‍♂	mipa turban ha: vun rawng (medium skin tone).
👳🏾‍♂️	mipa turban ha: vun rawng chu medium-dark
👳🏾‍♂	mipa turban ha: vun rawng chu medium-dark
👳🏿‍♂️	mipa turban ha: vun rawng dum
👳🏿‍♂	mipa turban ha: vun rawng dum
👳‍♀️	hmeichhia turban ha
👳‍♀	hmeichhia turban ha
👳🏻‍♀️	hmeichhia turban ha: vun rawng hring
👳🏻‍♀	hmeichhia turban ha: vun rawng hring
👳🏼‍♀️	hmeichhe turban ha: vun rawng (medium-light skin tone).
👳🏼‍♀	hmeichhe turban ha: vun rawng (medium-light skin tone).
👳🏽‍♀️	hmeichhia turban ha: vun rawng (medium skin tone).
👳🏽‍♀	hmeichhia turban ha: vun rawng (medium skin tone).
👳🏾‍♀️	hmeichhia turban ha: vun rawng chu medium-dark
👳🏾‍♀	hmeichhia turban ha: vun rawng chu medium-dark
👳🏿‍♀️	hmeichhia turban ha: vun rawng dum
👳🏿‍♀	hmeichhia turban ha: vun rawng dum
👲	mipa Chinese cap vuah
👲🏻	mipa Chinese cap vuah: vun rawng hring
👲🏼	mipa Chinese cap vuah: vun rawng (medium-light skin tone) nei
👲🏽	mipa Chinese cap nei: vun rawng (medium skin tone) nei
👲🏾	mipa Chinese cap vuah: vun rawng chu a dum (medium-dark skin tone) a ni
👲🏿	mipa Chinese cap vuah: vun rawng dum
🧕	hmeichhia lu khuhna keng
🧕🏻	hmeichhia lu khuh: vun rawng hring
🧕🏼	hmeichhia lu khuh: vun rawng (medium-light skin tone) nei
🧕🏽	hmeichhia lu khuh: vun rawng (medium skin tone).
🧕🏾	hmeichhia lu khuh: vun rawng (medium-dark skin tone).
🧕🏿	hmeichhia lu khuh: vun dum
🧔	hmul nei mi
🧔🏻	hmul nei mi: vun rawng hring
🧔🏼	hmul nei: vun rawng (medium-light skin tone) nei
🧔🏽	hmul nei mi: vun rawng (medium skin tone).
🧔🏾	hmul nei mi: vun rawng dum (medium-dark skin tone).
🧔🏿	hmul nei mi: vun dum
👱	sam dum nei mi
👱🏻	sam dum nei mi: vun rawng hring
👱🏼	sam dum: vun rawng (medium-light skin tone) nei
👱🏽	sam dum nei mi: vun rawng (medium skin tone).
👱🏾	sam dum: vun rawng dum (medium-dark skin tone) nei
👱🏿	sam dum nei mi: vun dum
👱‍♂️	sam dum nei mipa
👱‍♂	sam dum nei mipa
👱🏻‍♂️	mipa sam dum: vun rawng hring
👱🏻‍♂	mipa sam dum: vun rawng hring
👱🏼‍♂️	mipa sam dum: vun rawng (medium-light skin tone) nei
👱🏼‍♂	mipa sam dum: vun rawng (medium-light skin tone) nei
👱🏽‍♂️	mipa sam dum: vun rawng (medium skin tone).
👱🏽‍♂	mipa sam dum: vun rawng (medium skin tone).
👱🏾‍♂️	mipa sam dum: vun rawng dum (medium-dark skin tone).
👱🏾‍♂	mipa sam dum: vun rawng dum (medium-dark skin tone).
👱🏿‍♂️	mipa sam dum: vun dum
👱🏿‍♂	mipa sam dum: vun dum
👱‍♀️	hmeichhe sam dum hring
👱‍♀	hmeichhe sam dum hring
👱🏻‍♀️	hmeichhe sam dum: vun rawng hring
👱🏻‍♀	hmeichhe sam dum: vun rawng hring
👱🏼‍♀️	hmeichhe sam dum: vun rawng (medium-light skin tone) nei
👱🏼‍♀	hmeichhe sam dum: vun rawng (medium-light skin tone) nei
👱🏽‍♀️	hmeichhe sam dum: vun rawng (medium skin tone).
👱🏽‍♀	hmeichhe sam dum: vun rawng (medium skin tone).
👱🏾‍♀️	hmeichhe sam dum: vun rawng dum (medium-dark skin tone).
👱🏾‍♀	hmeichhe sam dum: vun rawng dum (medium-dark skin tone).
👱🏿‍♀️	hmeichhe sam dum: vun dum
👱🏿‍♀	hmeichhe sam dum: vun dum
👨‍🦰	mipa, sam sen
👨🏻‍🦰	mipa, sam sen: vun rawng hring
👨🏼‍🦰	mipa, sam sen: vun rawng (medium-light skin tone) nei
👨🏽‍🦰	mipa, sam sen: vun rawng (medium skin tone).
👨🏾‍🦰	mipa, sam sen: vun rawng dum (medium-dark skin tone).
👨🏿‍🦰	mipa, sam sen: vun dum
👩‍🦰	hmeichhia, sam sen
👩🏻‍🦰	hmeichhia, sam sen: vun rawng hring
👩🏼‍🦰	hmeichhia, sam sen: vun rawng (medium-light skin tone) nei
👩🏽‍🦰	hmeichhia, sam sen: vun rawng (medium skin tone).
👩🏾‍🦰	hmeichhia, sam sen: vun rawng (medium-dark skin tone) nei
👩🏿‍🦰	hmeichhia, sam sen: vun dum
👨‍🦱	mipa, sam sei tak
👨🏻‍🦱	mipa, sam hrual: vun rawng hring
👨🏼‍🦱	mipa, sam hrual: vun rawng (medium-light skin tone).
👨🏽‍🦱	mipa, sam hrual: vun rawng (medium skin tone).
👨🏾‍🦱	mipa, sam hrual: vun rawng (medium-dark skin tone).
👨🏿‍🦱	mipa, sam sei: vun dum
👩‍🦱	hmeichhia, sam hrual
👩🏻‍🦱	hmeichhia, sam hrual: vun rawng hring
👩🏼‍🦱	hmeichhia, sam hrual: vun rawng (medium-light skin tone).
👩🏽‍🦱	hmeichhia, sam hrual: vun rawng (medium skin tone).
👩🏾‍🦱	hmeichhia, sam hrual: vun rawng (medium-dark skin tone).
👩🏿‍🦱	hmeichhia, sam hrual: vun dum
👨‍🦲	mipa, sam dum
👨🏻‍🦲	mipa, bald: vun rawng hring
👨🏼‍🦲	mipa, sam dum: vun rawng (medium-light skin tone).
👨🏽‍🦲	mipa, sam dum: vun rawng (medium skin tone).
👨🏾‍🦲	mipa, sam dum: vun rawng (medium-dark skin tone).
👨🏿‍🦲	mipa, sam dum: vun dum
👩‍🦲	hmeichhia, bald
👩🏻‍🦲	hmeichhia, sam dum: vun rawng hring
👩🏼‍🦲	hmeichhia, sam dum: vun rawng (medium-light skin tone).
👩🏽‍🦲	hmeichhia, sam dum: vun rawng (medium skin tone).
👩🏾‍🦲	hmeichhia, sam dum: vun rawng (medium-dark skin tone).
👩🏿‍🦲	hmeichhia, sam dum: vun dum
👨‍🦳	mipa, sam dum
👨🏻‍🦳	mipa, sam dum: vun rawng hring
👨🏼‍🦳	mipa, sam dum: vun rawng (medium-light skin tone) nei
👨🏽‍🦳	mipa, sam dum: vun rawng (medium skin tone).
👨🏾‍🦳	mipa, sam dum: vun rawng (medium-dark skin tone) nei
👨🏿‍🦳	mipa, sam dum: vun dum
👩‍🦳	hmeichhia, sam dum
👩🏻‍🦳	hmeichhia, sam dum: vun rawng hring
👩🏼‍🦳	hmeichhia, sam dum: vun rawng (medium-light skin tone) nei
👩🏽‍🦳	hmeichhia, sam dum: vun rawng (medium skin tone).
👩🏾‍🦳	hmeichhia, sam dum: vun rawng (medium-dark skin tone) nei
👩🏿‍🦳	hmeichhia, sam dum: vun dum
🤵	mipa tuxedo ha
🤵🏻	mipa tuxedo ha: vun rawng hring
🤵🏼	mipa tuxedo ha: vun rawng (medium-light skin tone) a ni
🤵🏽	mipa tuxedo ha: vun rawng (medium skin tone) a ni
🤵🏾	mipa tuxedo ha: vun rawng (medium-dark skin tone) a ni
🤵🏿	mipa tuxedo ha: vun dum
👰	nupui nei tur chu veil vuah a ni
👰🏻	nupui nei tur veil nei: vun rawng hring
👰🏼	nupui nei tur puan vuah: vun rawng (medium-light skin tone).
👰🏽	nupui nei tur veil nei: vun rawng (medium skin tone).
👰🏾	nupui nei tur veil nei: vun rawng (medium-dark skin tone).
👰🏿	bride with veil: vun rawng dum
🤰	hmeichhe naupai
🤰🏻	hmeichhe naupai: vun rawng hring
🤰🏼	hmeichhe naupai: vun rawng (medium-light skin tone).
🤰🏽	hmeichhe naupai: vun rawng (medium skin tone).
🤰🏾	hmeichhe naupai: vun rawng (medium-dark skin tone).
🤰🏿	hmeichhe naupai: vun rawng dum
🤱	hnute hnute pek
🤱🏻	hnute pek: vun rawng hring
🤱🏼	hnute pek: vun rawng (medium-light skin tone).
🤱🏽	hnute pek: vun rawng (medium skin tone).
🤱🏾	hnute pek: vun rawng dum (medium-dark skin tone).
🤱🏿	hnute pek: vun rawng dum
👼	nausen vantirhkoh
👼🏻	nausen vantirhkoh: vun rawng hring
👼🏼	nausen vantirhkoh: vun rawng (medium-light skin tone) a ni
👼🏽	nausen vantirhkoh: vun rawng (medium skin tone) a ni
👼🏾	nausen vantirhkoh: vun rawng (medium-dark skin tone) a ni
👼🏿	baby angel: vun rawng dum
🎅	Santa Claus a ni
🎅🏻	Santa Claus: vun rawng hring hring
🎅🏼	Santa Claus: vun rawng chu a hring (medium-light skin tone) a ni
🎅🏽	Santa Claus: vun rawng (medium skin tone) a ni
🎅🏾	Santa Claus: vun rawng dum (medium-dark skin tone) a ni
🎅🏿	Santa Claus: vun dum hring
🤶	Mrs. Claus-i chuan a rawn ti a
🤶🏻	Mrs. Claus: vun rawng a hring
🤶🏼	Mrs. Claus: vun rawng chu medium-light a ni
🤶🏽	Mrs. Claus: vun rawng (medium skin tone) a ni
🤶🏾	Mrs. Claus: vun rawng dum (medium-dark skin tone) a ni
🤶🏿	Mrs. Claus: vun dum a ni
🦸	superhero a ni
🦸🏻	superhero: vun rawng hring hring
🦸🏼	superhero: vun rawng hring (medium-light skin tone) a ni
🦸🏽	superhero: vun rawng (medium skin tone) a ni
🦸🏾	superhero: vun rawng dum (medium-dark skin tone) a ni
🦸🏿	superhero: vun dum hring
🦸‍♀️	hmeichhe superhero a ni
🦸‍♀	hmeichhe superhero a ni
🦸🏻‍♀️	hmeichhe superhero: vun rawng hring
🦸🏻‍♀	hmeichhe superhero: vun rawng hring
🦸🏼‍♀️	hmeichhe superhero: vun rawng (medium-light skin tone) a ni
🦸🏼‍♀	hmeichhe superhero: vun rawng (medium-light skin tone) a ni
🦸🏽‍♀️	hmeichhe superhero: vun rawng (medium skin tone) a ni
🦸🏽‍♀	hmeichhe superhero: vun rawng (medium skin tone) a ni
🦸🏾‍♀️	hmeichhe superhero: vun rawng dum (medium-dark skin tone) a ni
🦸🏾‍♀	hmeichhe superhero: vun rawng dum (medium-dark skin tone) a ni
🦸🏿‍♀️	hmeichhe superhero: vun dum hring
🦸🏿‍♀	hmeichhe superhero: vun dum hring
🦸‍♂️	mipa superhero a ni
🦸‍♂	mipa superhero a ni
🦸🏻‍♂️	man superhero: vun rawng hring
🦸🏻‍♂	man superhero: vun rawng hring
🦸🏼‍♂️	mipa superhero: vun rawng hring (medium-light skin tone) a ni
🦸🏼‍♂	mipa superhero: vun rawng hring (medium-light skin tone) a ni
🦸🏽‍♂️	mipa superhero: vun rawng (medium skin tone) a ni
🦸🏽‍♂	mipa superhero: vun rawng (medium skin tone) a ni
🦸🏾‍♂️	mipa superhero: vun rawng dum (medium-dark skin tone) a ni
🦸🏾‍♂	mipa superhero: vun rawng dum (medium-dark skin tone) a ni
🦸🏿‍♂️	man superhero: vun dum hring
🦸🏿‍♂	man superhero: vun dum hring
🦹	supervillain a ni
🦹🏻	supervillain: vun rawng hring
🦹🏼	supervillain: vun rawng hring (medium-light skin tone) a ni
🦹🏽	supervillain: vun rawng (medium skin tone) a ni
🦹🏾	supervillain: vun rawng dum (medium-dark skin tone) a ni
🦹🏿	supervillain: vun rawng dum
🦹‍♀️	hmeichhia supervillain a ni
🦹‍♀	hmeichhia supervillain a ni
🦹🏻‍♀️	hmeichhe supervillain: vun rawng hring
🦹🏻‍♀	hmeichhe supervillain: vun rawng hring
🦹🏼‍♀️	hmeichhe supervillain: vun rawng hring (medium-light skin tone) a ni
🦹🏼‍♀	hmeichhe supervillain: vun rawng hring (medium-light skin tone) a ni
🦹🏽‍♀️	hmeichhe supervillain: vun rawng (medium skin tone) a ni
🦹🏽‍♀	hmeichhe supervillain: vun rawng (medium skin tone) a ni
🦹🏾‍♀️	hmeichhe supervillain: vun rawng dum (medium-dark skin tone) a ni
🦹🏾‍♀	hmeichhe supervillain: vun rawng dum (medium-dark skin tone) a ni
🦹🏿‍♀️	hmeichhe supervillain: vun rawng dum
🦹🏿‍♀	hmeichhe supervillain: vun rawng dum
🦹‍♂️	mipa supervillain a ni
🦹‍♂	mipa supervillain a ni
🦹🏻‍♂️	mipa supervillain: vun rawng hring
🦹🏻‍♂	mipa supervillain: vun rawng hring
🦹🏼‍♂️	mipa supervillain: vun rawng hring (medium-light skin tone) a ni
🦹🏼‍♂	mipa supervillain: vun rawng hring (medium-light skin tone) a ni
🦹🏽‍♂️	mipa supervillain: vun rawng (medium skin tone) a ni
🦹🏽‍♂	mipa supervillain: vun rawng (medium skin tone) a ni
🦹🏾‍♂️	mipa supervillain: vun rawng dum (medium-dark skin tone) a ni
🦹🏾‍♂	mipa supervillain: vun rawng dum (medium-dark skin tone) a ni
🦹🏿‍♂️	man supervillain: vun rawng dum
🦹🏿‍♂	man supervillain: vun rawng dum
🧙	mage a ni
🧙🏻	mage: vun rawng hring
🧙🏼	mage: vun rawng hring (medium-light skin tone) a ni
🧙🏽	mage: vun rawng (medium skin tone) a ni
🧙🏾	mage: vun rawng dum (medium-dark skin tone) a ni
🧙🏿	mage: vun rawng dum
🧙‍♀️	hmeichhe mage
🧙‍♀	hmeichhe mage
🧙🏻‍♀️	hmeichhe mage: vun rawng hring
🧙🏻‍♀	hmeichhe mage: vun rawng hring
🧙🏼‍♀️	hmeichhe mage: vun rawng (medium-light skin tone) a ni
🧙🏼‍♀	hmeichhe mage: vun rawng (medium-light skin tone) a ni
🧙🏽‍♀️	hmeichhe mage: vun rawng (medium skin tone) a ni
🧙🏽‍♀	hmeichhe mage: vun rawng (medium skin tone) a ni
🧙🏾‍♀️	hmeichhe mage: vun rawng dum (medium-dark skin tone) a ni
🧙🏾‍♀	hmeichhe mage: vun rawng dum (medium-dark skin tone) a ni
🧙🏿‍♀️	hmeichhe mage: vun dum hring
🧙🏿‍♀	hmeichhe mage: vun dum hring
🧙‍♂️	mipa mage
🧙‍♂	mipa mage
🧙🏻‍♂️	man mage: vun rawng hring
🧙🏻‍♂	man mage: vun rawng hring
🧙🏼‍♂️	man mage: vun rawng hring (medium-light skin tone) a ni
🧙🏼‍♂	man mage: vun rawng hring (medium-light skin tone) a ni
🧙🏽‍♂️	man mage: vun rawng (medium skin tone) a ni
🧙🏽‍♂	man mage: vun rawng (medium skin tone) a ni
🧙🏾‍♂️	man mage: vun rawng dum (medium-dark skin tone) a ni
🧙🏾‍♂	man mage: vun rawng dum (medium-dark skin tone) a ni
🧙🏿‍♂️	man mage: vun dum hring
🧙🏿‍♂	man mage: vun dum hring
🧚	lasi
🧚🏻	fairy: vun rawng hring
🧚🏼	fairy: vun rawng hring (medium-light skin tone) a ni
🧚🏽	fairy: vun rawng (medium skin tone) a ni
🧚🏾	fairy: vun rawng dum (medium-dark skin tone) a ni
🧚🏿	fairy: vun dum hring
🧚‍♀️	hmeichhe fairy
🧚‍♀	hmeichhe fairy
🧚🏻‍♀️	hmeichhe fairy: vun rawng hring
🧚🏻‍♀	hmeichhe fairy: vun rawng hring
🧚🏼‍♀️	hmeichhe fairy: vun rawng (medium-light skin tone) a ni
🧚🏼‍♀	hmeichhe fairy: vun rawng (medium-light skin tone) a ni
🧚🏽‍♀️	hmeichhe fairy: vun rawng (medium skin tone) a ni
🧚🏽‍♀	hmeichhe fairy: vun rawng (medium skin tone) a ni
🧚🏾‍♀️	hmeichhe fairy: vun rawng dum (medium-dark skin tone) a ni
🧚🏾‍♀	hmeichhe fairy: vun rawng dum (medium-dark skin tone) a ni
🧚🏿‍♀️	hmeichhe fairy: vun dum hring
🧚🏿‍♀	hmeichhe fairy: vun dum hring
🧚‍♂️	mipa fairy a ni
🧚‍♂	mipa fairy a ni
🧚🏻‍♂️	man fairy: vun rawng hring
🧚🏻‍♂	man fairy: vun rawng hring
🧚🏼‍♂️	mipa fairy: vun rawng (medium-light skin tone) a ni
🧚🏼‍♂	mipa fairy: vun rawng (medium-light skin tone) a ni
🧚🏽‍♂️	mipa fairy: vun rawng (medium skin tone) a ni
🧚🏽‍♂	mipa fairy: vun rawng (medium skin tone) a ni
🧚🏾‍♂️	man fairy: vun rawng dum (medium-dark skin tone) a ni
🧚🏾‍♂	man fairy: vun rawng dum (medium-dark skin tone) a ni
🧚🏿‍♂️	man fairy: vun dum hring
🧚🏿‍♂	man fairy: vun dum hring
🧛	vampire a ni
🧛🏻	vampire: vun rawng hring
🧛🏼	vampire: vun rawng hring (medium-light skin tone) a ni
🧛🏽	vampire: vun rawng (medium skin tone) a ni
🧛🏾	vampire: vun rawng dum (medium-dark skin tone) a ni
🧛🏿	vampire: vun dum hring
🧛‍♀️	hmeichhe vampire
🧛‍♀	hmeichhe vampire
🧛🏻‍♀️	hmeichhe vampire: vun rawng hring
🧛🏻‍♀	hmeichhe vampire: vun rawng hring
🧛🏼‍♀️	hmeichhe vampire: vun rawng (medium-light skin tone) a ni
🧛🏼‍♀	hmeichhe vampire: vun rawng (medium-light skin tone) a ni
🧛🏽‍♀️	hmeichhe vampire: vun rawng (medium skin tone) a ni
🧛🏽‍♀	hmeichhe vampire: vun rawng (medium skin tone) a ni
🧛🏾‍♀️	hmeichhe vampire: vun rawng dum (medium-dark skin tone) a ni
🧛🏾‍♀	hmeichhe vampire: vun rawng dum (medium-dark skin tone) a ni
🧛🏿‍♀️	hmeichhe vampire: vun dum hring
🧛🏿‍♀	hmeichhe vampire: vun dum hring
🧛‍♂️	mipa vampire
🧛‍♂	mipa vampire
🧛🏻‍♂️	man vampire: vun rawng hring
🧛🏻‍♂	man vampire: vun rawng hring
🧛🏼‍♂️	man vampire: vun rawng hring (medium-light skin tone) a ni
🧛🏼‍♂	man vampire: vun rawng hring (medium-light skin tone) a ni
🧛🏽‍♂️	man vampire: vun rawng (medium skin tone) a ni
🧛🏽‍♂	man vampire: vun rawng (medium skin tone) a ni
🧛🏾‍♂️	man vampire: vun rawng dum (medium-dark skin tone) a ni
🧛🏾‍♂	man vampire: vun rawng dum (medium-dark skin tone) a ni
🧛🏿‍♂️	man vampire: vun dum hring
🧛🏿‍♂	man vampire: vun dum hring
🧜	merperson a ni
🧜🏻	mererson: vun rawng hring
🧜🏼	merperson: vun rawng hring (medium-light skin tone) a ni
🧜🏽	merperson: vun rawng (medium skin tone) a ni
🧜🏾	mererson: vun rawng dum (medium-dark skin tone) a ni
🧜🏿	mererson: vun dum hring
🧜‍♀️	mermaid a ni
🧜‍♀	mermaid a ni
🧜🏻‍♀️	mermaid: vun rawng hring
🧜🏻‍♀	mermaid: vun rawng hring
🧜🏼‍♀️	mermaid: vun rawng hring (medium-light skin tone) a ni
🧜🏼‍♀	mermaid: vun rawng hring (medium-light skin tone) a ni
🧜🏽‍♀️	mermaid: vun rawng (medium skin tone) a ni
🧜🏽‍♀	mermaid: vun rawng (medium skin tone) a ni
🧜🏾‍♀️	mermaid: vun rawng dum (medium-dark skin tone) a ni
🧜🏾‍♀	mermaid: vun rawng dum (medium-dark skin tone) a ni
🧜🏿‍♀️	mermaid: vun dum hring
🧜🏿‍♀	mermaid: vun dum hring
🧜‍♂️	merman tih hi a ni
🧜‍♂	merman tih hi a ni
🧜🏻‍♂️	merman: vun rawng hring
🧜🏻‍♂	merman: vun rawng hring
🧜🏼‍♂️	merman: vun rawng (medium-light skin tone) a ni
🧜🏼‍♂	merman: vun rawng (medium-light skin tone) a ni
🧜🏽‍♂️	merman: vun rawng (medium skin tone) a ni
🧜🏽‍♂	merman: vun rawng (medium skin tone) a ni
🧜🏾‍♂️	merman: vun rawng dum (medium-dark skin tone) a ni
🧜🏾‍♂	merman: vun rawng dum (medium-dark skin tone) a ni
🧜🏿‍♂️	merman: vun dum hring
🧜🏿‍♂	merman: vun dum hring
🧝	elf a ni
🧝🏻	elf: vun rawng hring
🧝🏼	elf: vun rawng hring (medium-light skin tone) a ni
🧝🏽	elf: vun rawng (medium skin tone) a ni
🧝🏾	elf: vun rawng dum (medium-dark skin tone) a ni
🧝🏿	elf: vun rawng dum
🧝‍♀️	hmeichhe elf
🧝‍♀	hmeichhe elf
🧝🏻‍♀️	hmeichhe elf: vun rawng hring
🧝🏻‍♀	hmeichhe elf: vun rawng hring
🧝🏼‍♀️	hmeichhe elf: vun rawng (medium-light skin tone) a ni
🧝🏼‍♀	hmeichhe elf: vun rawng (medium-light skin tone) a ni
🧝🏽‍♀️	hmeichhe elf: vun rawng (medium skin tone) a ni
🧝🏽‍♀	hmeichhe elf: vun rawng (medium skin tone) a ni
🧝🏾‍♀️	hmeichhe elf: vun rawng dum (medium-dark skin tone) a ni
🧝🏾‍♀	hmeichhe elf: vun rawng dum (medium-dark skin tone) a ni
🧝🏿‍♀️	hmeichhe elf: vun dum hring
🧝🏿‍♀	hmeichhe elf: vun dum hring
🧝‍♂️	mipa elf
🧝‍♂	mipa elf
🧝🏻‍♂️	man elf: vun rawng hring
🧝🏻‍♂	man elf: vun rawng hring
🧝🏼‍♂️	man elf: vun rawng hring (medium-light skin tone) a ni
🧝🏼‍♂	man elf: vun rawng hring (medium-light skin tone) a ni
🧝🏽‍♂️	man elf: vun rawng (medium skin tone) a ni
🧝🏽‍♂	man elf: vun rawng (medium skin tone) a ni
🧝🏾‍♂️	man elf: vun rawng dum (medium-dark skin tone) a ni
🧝🏾‍♂	man elf: vun rawng dum (medium-dark skin tone) a ni
🧝🏿‍♂️	man elf: vun dum hring
🧝🏿‍♂	man elf: vun dum hring
🧞	genie a ni
🧞‍♀️	hmeichhe genie
🧞‍♀	hmeichhe genie
🧞‍♂️	mipa genie
🧞‍♂	mipa genie
🧟	zombie a ni
🧟‍♀️	hmeichhia zombie
🧟‍♀	hmeichhia zombie
🧟‍♂️	mipa zombie
🧟‍♂	mipa zombie
🙍	mi chu a hmui a ti hup a
🙍🏻	mi hmui ti hup: vun rawng hring
🙍🏼	mi hmui hrual: vun rawng (medium-light skin tone).
🙍🏽	mi hmui ti hup: vun rawng (medium skin tone).
🙍🏾	mi hmui hrual: vun rawng (medium-dark skin tone).
🙍🏿	person frowning: vun rawng dum
🙍‍♂️	mipa chu a hmui a ti hup a
🙍‍♂	mipa chu a hmui a ti hup a
🙍🏻‍♂️	man frowning: vun rawng a eng
🙍🏻‍♂	man frowning: vun rawng a eng
🙍🏼‍♂️	mipa hmui hrual: vun rawng (medium-light skin tone).
🙍🏼‍♂	mipa hmui hrual: vun rawng (medium-light skin tone).
🙍🏽‍♂️	mipa hmui hrual: vun rawng (medium skin tone).
🙍🏽‍♂	mipa hmui hrual: vun rawng (medium skin tone).
🙍🏾‍♂️	mipa hmui hrual: vun rawng (medium-dark skin tone).
🙍🏾‍♂	mipa hmui hrual: vun rawng (medium-dark skin tone).
🙍🏿‍♂️	man frowning: vun rawng dum
🙍🏿‍♂	man frowning: vun rawng dum
🙍‍♀️	hmeichhia chu a hmui a ti hup a
🙍‍♀	hmeichhia chu a hmui a ti hup a
🙍🏻‍♀️	hmeichhe hmui ti hup: vun rawng a eng
🙍🏻‍♀	hmeichhe hmui ti hup: vun rawng a eng
🙍🏼‍♀️	hmeichhe hmui ti hup: vun rawng (medium-light skin tone).
🙍🏼‍♀	hmeichhe hmui ti hup: vun rawng (medium-light skin tone).
🙍🏽‍♀️	hmeichhe hmui ti hup: vun rawng (medium skin tone).
🙍🏽‍♀	hmeichhe hmui ti hup: vun rawng (medium skin tone).
🙍🏾‍♀️	hmeichhe hmui ti hup: vun rawng (medium-dark skin tone).
🙍🏾‍♀	hmeichhe hmui ti hup: vun rawng (medium-dark skin tone).
🙍🏿‍♀️	hmeichhe hmui a ti hrual: vun dum
🙍🏿‍♀	hmeichhe hmui a ti hrual: vun dum
🙎	mi pouting
🙎🏻	mi pouting: vun rawng hring
🙎🏼	mi pouting: vun rawng (medium-light skin tone) a ni
🙎🏽	mi pouting: vun rawng (medium skin tone) a ni
🙎🏾	mi pouting: vun rawng (medium-dark skin tone) a ni
🙎🏿	mi pouting: vun rawng dum
🙎‍♂️	mipa pouting
🙎‍♂	mipa pouting
🙎🏻‍♂️	mipa pouting: vun rawng hring
🙎🏻‍♂	mipa pouting: vun rawng hring
🙎🏼‍♂️	mipa pouting: vun rawng (medium-light skin tone) a ni
🙎🏼‍♂	mipa pouting: vun rawng (medium-light skin tone) a ni
🙎🏽‍♂️	mipa pouting: vun rawng (medium skin tone) a ni
🙎🏽‍♂	mipa pouting: vun rawng (medium skin tone) a ni
🙎🏾‍♂️	mipa pouting: vun rawng dum (medium-dark skin tone) a ni
🙎🏾‍♂	mipa pouting: vun rawng dum (medium-dark skin tone) a ni
🙎🏿‍♂️	man pouting: vun rawng dum
🙎🏿‍♂	man pouting: vun rawng dum
🙎‍♀️	hmeichhia pouting
🙎‍♀	hmeichhia pouting
🙎🏻‍♀️	hmeichhia pouting: vun rawng hring
🙎🏻‍♀	hmeichhia pouting: vun rawng hring
🙎🏼‍♀️	hmeichhe pouting: vun rawng (medium-light skin tone) a ni
🙎🏼‍♀	hmeichhe pouting: vun rawng (medium-light skin tone) a ni
🙎🏽‍♀️	hmeichhe pouting: vun rawng (medium skin tone).
🙎🏽‍♀	hmeichhe pouting: vun rawng (medium skin tone).
🙎🏾‍♀️	hmeichhe pouting: vun rawng chu a dum (medium-dark skin tone) a ni
🙎🏾‍♀	hmeichhe pouting: vun rawng chu a dum (medium-dark skin tone) a ni
🙎🏿‍♀️	hmeichhe pouting: vun rawng dum
🙎🏿‍♀	hmeichhe pouting: vun rawng dum
🙅	mi pakhatin NO a ti a
🙅🏻	mi pakhatin NO: vun rawng a ti eng
🙅🏼	mi pakhatin NO: vun rawng (medium-light skin tone) a tih
🙅🏽	mi pakhatin NO: vun rawng (medium skin tone) a tih
🙅🏾	mi pakhatin NO: vun rawng dum (medium-dark skin tone) a tih
