Aachen	Aachenu
hysterický	hysterickými
hysterie	hysterii
hysterka	hysterkami
hýždě	hýždí
hyzdit	hyzdil
Ida	Idě
Idamantův	Idamantova
Idamantův	Idamantově
Idamantův	Idamantovi
idea	ideách
idea	ideje
idea	idejemi
idea	idejí
idea	idejím
idea	ideou
idea	ideu
ideál	ideálem
ideál	ideálů
ideál	ideálům
idealistický	idealistické
identifikace	identifikaci
identifikovat	identifikoval
identifikovat	identifikovala
identita	identitě
identita	identitu
identita	identity
ideologický	ideologické
ideologický	ideologického
ideologický	ideologickém
ideologie	ideologii
ideologie	ideologií
ideopolicie	ideopolicii
ideopolicie	ideopolicií
ideový	ideové
ideový	ideovém
ideový	ideovému
ideový	ideovou
ideový	ideovými
ideozločin	ideozločinem
ideozločin	ideozločinu
ideozločin	ideozločinů
ideozločin	ideozločiny
ideozločinec	ideozločince
ideozločinec	ideozločinci
ideozločinec	ideozločinců
ideozločinec	ideozločincům
Idomeneus	Idomeneem
Idomeneův	Idomeneově
Idomeneův	Idomeneovu
Idomeneův	Idomeneovy
idyla	idylou
idyla	idylu
idylický	idylickou
idylický	idylickými
idylka	idylku
Ifigenie	Ifigenii
Ignác	Ignáce
ignorovat	ignoroval
ignorovat	ignorovali
ignorovat	ignoruje
Igor	Igora
ilegální	ilegálního
Ilia	Iliou
Ilia	Iliu
ilustrace	ilustraci
ilustrace	ilustrací
ilustrativní	ilustrativními
ilustrovat	ilustruje
ilustrovat	ilustruji
iluze	iluzi
iluze	iluzí
iluze	iluzím
imaginární	imaginárním
imago	imagem
imitace	imitací
imperialistický	imperialistickými
impérium	impéria
imponovat	imponoval
imponovat	imponovaly
imponovat	imponuje
impresário	impresária
impresionismus	impresionismu
impresionista	impresionistu
impresionistický	impresionistická
impresionistický	impresionistického
impresionistický	impresionistickému
improvizace	improvizacích
improvizátor	improvizátora
improvizovaný	improvizované
improvizovaný	improvizovaném
improvizovaný	improvizovanou
improvizovat	improvizoval
improvizovat	improvizovalo
impuls	impulsem
impuls	impulsů
impuls	impulsy
imunní	imunních
Ina	Inu
inaugurovat	inauguroval
incident	incidentem
incident	incidentu
incident	incidenty
Ind	Indové
Ind	Indy
index	indexu
Indián	Indiáni
Indián	Indiánů
indiánský	indiánského
indický	indického
indický	indickém
indický	indickou
indický	indických
indický	indickým
Indie	Indii
indikativní	indikativních
indikátor	indikátorů
indikátor	indikátory
indium	indii
individuum	individuem
indonéský	indonéské
infikovat	infikovány
inflace	inflaci
inflace	inflací
informace	informacemi
informace	informaci
informace	informací
informace	informacím
informační	informačních
informační	informačního
informátor	informátory
informovanost	informovaností
informovat	informoval
informovat	informovala
informovat	informovali
informovat	informována
informovat	informováni
informovat	informováno
informovat	informuje
infrastruktura	infrastruktuře
infrastruktura	infrastruktury
iniciativa	iniciativ
iniciativa	iniciativě
iniciativa	iniciativou
iniciativa	iniciativu
iniciativa	iniciativy
injekce	injekci
inkognito	incognito
inkognito	inkognita
inkoust	inkoustu
inkoustový	inkoustovou
inkoustův	inkoustovou
inkriminovaný	inkriminované
inkvizitor	inkvizitora
inovace	inovaci
inovace	inovací
inscenace	inscenaci
inscenace	inscenací
inscenátor	inscenátoři
inscenovaný	inscenované
inscenovat	inscenována
inspekce	inspekci
inspekce	inspekcích
inspektor	inspektorovi
inspektorát	inspektorátu
inspektorův	inspektorovi
inspirace	inspiraci
inspirace	inspirací
inspirovaný	inspirované
inspirovaný	inspirovaného
inspirovat	inspiroval
inspirovat	inspirovala
inspirovat	inspirován
inspirovat	inspiruje
instalace	instalaci
instance	instanci
instance	instancí
instinkt	instinktem
instinkt	instinktu
instinkt	instinkty
instituce	instituci
instituce	institucí
instituce	institucích
institucionální	institucionálního
institut	institute
institut	institutu
instrukce	instrukcí
instruktážní	instruktážním
instrumentace	instrumentaci
instrumentace	instrumentací
instrumentační	instrumentačními
instrumentální	instrumentálních
instrumentální	instrumentálního
instrumentářka	instrumentářek
instrumentovaný	instrumentovaná
instrumentovaný	instrumentovaných
integrace	integraci
integrační	integračních
integrační	integračním
integrita	integritu
integrita	integrity
integrovaný	integrovaného
intelekt	intelektu
intelektuál	intelektuála
intelektuál	intelektuálové
intelektuál	intelektuálů
intelektuálka	intelektuálku
intelektuální	intelektuálním
intelektuálno	intelektuálně
intelektuálský	intelektuálské
inteligence	inteligenci
inteligentní	inteligentnější
intence	intencí
intenzita	intenzitou
intenzita	intenzity
intenzívní	intenzivní
intermezzo	intermezza
intermezzo	intermezzy
intermezzový	intermezzovém
intermezzový	intermezzových
internacionál	internacionála
internacionál	internacionálů
internacionalismus	internacionalismem
internacionalizmus	internacionalismem
internacionalizmus	internacionalismus
internát	internátě
interní	interních
interpret	interpretech
interpret	interpretů
interpretace	interpretaci
interpretace	interpretací
interpretační	interpretačním
interpretovat	interpretoval
interpretovat	interpretovali
interpretovat	interpretují
interval	intervalech
interval	intervalu
interval	intervaly
intervence	intervenci
intervence	intervencí
intifáda	intifády
intonace	intonaci
intonace	intonací
intonovaný	intonovanou
intrika	intrik
intrika	intrikám
intrika	intrikami
intrika	intriky
invalida	invalidy
invalidní	invalidního
invence	invenci
invence	invencí
invenční	invenčních
invenční	invenčního
investice	investic
investice	investicemi
investice	investici
investiční	investičních
investiční	investičního
investiční	investičním
investiční	investičnímu
investor	investoři
investor	investorů
investor	investorům
investor	investory
investovat	investovala
investovat	investovaly
investovat	investuje
inženýr	inženýrovi
inženýr	inženýrů
inženýr	inženýry
inženýrův	inženýrovi
inzerce	inzerci
ionosféra	ionosféře
iracionalita	iracionality
irácký	irácké
irácký	iráckým
Irák	Irákem
Irák	Iráku
Írán	Íránem
íránský	íránského
iredenta	iredenty
iredentista	iredentisté
Irena	Ireně
Irena	Irenou
Irena	Irenu
Irena	Ireny
Irenin	Ireninu
ironický	ironickou
ironický	ironickým
ironie	ironii
ironie	ironií
Irsko	Irska
Irsko	Irskem
Irsko	Irsku
irský	irské
irský	irského
Isabelin	Isabelina
Isabella	Isabelle
Isabella	Isabellu
Isabella	Isabelly
Isabellin	Isabellina
Isabellin	Isabellině
Isida	Isidu
islám	islámem
islám	islámu
islámský	islámské
islámský	islámských
islámský	islámským
island	islandem
Isolda	Isoldě
Isolda	Isoldou
Isolda	Isoldu
Isolda	Isoldy
Isoldin	Isoldina
Isoldin	Isoldině
Isoldin	Isoldinou
Ital	Italové
Ital	Italům
Ital	Italy
Itálie	Itálii
Itálie	Itálií
Italka	Italce
Italka	Italky
italský	italská
italský	italské
italský	italského
italský	italském
italský	italskou
italský	italských
italský	italským
italský	italskými
italský	italští
italština	italštině
Iva	Iv
Iva	Ivo
Ivan	Ivana
Ivan	Ivanem
Ivana	Ivan
Ivanov	Ivanova
Ivanov	Ivanovem
Ivanov	Ivanovovi
Ivanov	Ivanovu
Ivanovův	Ivanovova
Ivanovův	Ivanovovi
Ivanův	Ivanova
Ivanův	Ivanovu
Izák	Izáku
izolovaný	izolované
izolovat	izolovaly
izolovat	izolován
Izrael	Izraele
Izrael	Izraelem
Izrael	Izraeli
Izraelita	Izraelité
Izraelita	Izraelitů
Izraelita	Izraelitům
Izraelita	Izraelity
izraelský	izraelská
izraelský	izraelské
izraelský	izraelského
izraelský	izraelskou
izraelský	izraelských
izraelský	izraelští
já	mě
já	mi
já	mne
já	mně
já	mnou
já	my
já	nám
já	námi
já	nás
jabloň	jabloní
Jablonec	Jablonci
jachta	jachtou
jachta	jachty
jachtař	jachtaři
Jack	Jacka
Jacques	Jacquesovi
Jacquesův	Jacquesovi
jaderný	jaderná
jaderný	jaderné
jaderný	jaderného
jaderný	jaderných
jaderný	jadernými
Jadran	Jadranu
jadranský	jadranskému
jadrný	jadrné
jádro	jádra
jádro	jádru
jahoda	jahod
jahoda	jahody
jakkoliv	jakkoli
Jakovlev	Jakovleva
Jakub	Jakuba
jaký	jaká
jaký	jaké
jaký	jakého
jaký	jakém
jaký	jakému
jaký	jakou
jaký	jakých
jaký	jakým
jaký	jakými
jakýkoli	jakákoli
jakýkoli	jakéhokoli
jakýkoli	jakékoli
jakýkoli	jakémkoli
jakýkoli	jakémukoli
jakýkoli	jakoukoli
jakýkoli	jakýchkoli
jakýkoli	jakýmkoli
jakýkoliv	jakákoliv
jakýkoliv	jakéhokoliv
jakýkoliv	jakékoliv
jakýkoliv	jakémukoliv
jakýkoliv	jakoukoliv
jakýpak	jakoupak
jakýsi	jakási
jakýsi	jakéhosi
jakýsi	jakémsi
jakýsi	jakémusi
jakýsi	jakés
jakýsi	jakési
jakýsi	jakousi
jakýsi	jakýmisi
jakýsi	jakýmsi
jakýsi	jakýs
jaltský	jaltské
jáma	jámy
James	Jamesem
Jan	Jana
Jan	Janem
Jan	Janů
Ján	Jánu
Jana	Jan
Janáčkův	Janáčkovy
Janeiro	Janeiru
janičář	janičářů
Jánošíkův	Jánošíkově
Janota	Janotu
Janouch	Janoucha
Janov	Janově
Jánský	Jánských
jantarový	jantarových
Janův	Janově
Japonec	Japonci
Japonec	Japonců
Japonsko	Japonska
Japonsko	Japonskem
Japonsko	Japonsku
japonský	japonské
japonský	japonského
japonský	japonských
japonský	japonským
Jaquin	Jaquina
Jaquin	Jaquinem
jarní	jarním
jaro	jar
jaro	jara
jaro	jaře
Jaroměřice	Jaroměřicích
Jaromír	Jaromíra
Jaromíra	Jaromír
Jaroslav	Jaroslava
Jaroslav	Jaroslavy
Jaroslava	Jaroslav
Jaroslava	Jaroslavy
jas	jasu
jásající	jásajícího
jasan	jasanu
jasan	jasany
jásat	jásá
jásat	jásají
jásat	jásal
jásat	jásám
jásat	nejásal
Jašin	Jašina
Jašinův	Jašinovu
jasně	jasněji
jasně	nejasně
jasně	nejasněji
jasnět	jasně
jasnět	nejasně
jasnost	jasnosti
jasnost	jasností
jasnost	nejasnostem
jasnost	nejasností
jasný	jasná
jasný	jasné
jasný	jasného
jasný	jasném
jasný	jasnou
jasný	jasných
jasný	jasným
jasný	jasnými
jasný	nejasné
jasný	nejasnější
jasný	nejasnou
jasný	nejasných
jasný	nejasným
jásot	jásotem
jásot	jásotu
Javier	Javiera
jazyk	jazyce
jazyk	jazyka
jazyk	jazykem
jazyk	jazyku
jazyk	jazyků
jazyk	jazyky
jazykovědný	jazykovědné
jazykový	jazykové
jazykový	jazykoví
jazzový	jazzové
jdoucí	jdoucímu
Jean	Jeana
ječící	ječícího
jed	jede
jed	jedem
jed	jedu
jed	jedů
jed	jedy
jeden	jedna
jeden	jedné
jeden	jedněch
jeden	jedni
jeden	jedním
jeden	jedno
jeden	jednoho
jeden	jednom
jeden	jednomu
jeden	jednou
jeden	jednu
jedenáct	jedenácti
jedenáctka	jedenáctku
jedenáctý	jedenácté
jedenáctý	jedenáctého
jedenáctý	jedenáctém
jedenáctý	jedenáctou
jedenadvacátý	jedenadvacátého
jedenaosmdesátiletý	jedenaosmdesátiletá
jedinec	jedince
jedinec	jedincem
jedinec	jedinci
jedinec	jedincích
jedinec	jedinců
jedinečný	jedinečné
jedinečný	jedinečnou
jedinečný	jedinečných
jedinkrát	jedinkráte
jediný	jediná
jediný	jediné
jediný	jediného
jediný	jedinej
jediný	jediném
jediný	jedinému
jediný	jedinou
jediný	jediným
jediný	jedinými
jedle	jedli
jedlička	jedličky
jednající	jednajících
jednání	jednáních
jednání	jednáním
jednání	jednáními
jednat	jedná
jednat	jednal
jednat	jednala
jednat	jednali
jednat	jednalo
jednat	jednaly
jednat	nejednala
jednat	nejednali
jednatřicetiletý	jednatřicetiletá
jednička	jedniček
jednička	jedničku
jednička	jedničky
jednoaktovka	jednoaktovky
jednoduchost	jednoduchostí
jednoduchoučký	jednoduchoučká
jednoduchý	jednoduchá
jednoduchý	jednoduché
jednoduchý	jednoduchého
jednoduchý	jednoduchou
jednoduchý	jednoduchých
jednoduchý	jednoduchým
jednoduchý	jednoduchými
jednoduchý	jednodušší
jednoduchý	nejjednodušší
jednoduchý	nejjednodušším
jednohlasný	jednohlasné
jednomyslný	jednomyslným
jednorázový	jednorázových
jednoroční	jednoročního
jednostranný	jednostranné
jednostranný	jednostranným
jednota	jednotě
jednota	jednotu
jednota	jednoty
jednotící	jednotícím
jednotit	jednotě
jednotka	jednotce
jednotka	jednotek
jednotka	jednotkami
jednotka	jednotku
jednotka	jednotky
jednotlivec	jednotlivce
jednotlivec	jednotlivci
jednotlivec	jednotlivců
jednotlivec	jednotlivcům
jednotlivý	jednotlivá
jednotlivý	jednotlivé
jednotlivý	jednotliví
jednotlivý	jednotlivých
jednotlivý	jednotlivým
jednotlivý	jednotlivými
jednotnost	nejednotnost
jednotnost	nejednotností
jednotný	jednotná
jednotný	jednotné
jednotný	jednotného
jednotný	jednotném
jednotný	jednotní
jednotný	jednotnou
jednotný	jednotných
jednoznačný	jednoznačná
jednoznačný	jednoznačné
jednoznačný	jednoznačným
jedovatý	jedovatá
jedovatý	jedovaté
Jeffersonův	Jeffersonova
jeho	její
jeho	jejich
jeho	jejích
jeho	jejího
jeho	jejím
jeho	jejími
jeho	jejímu
Jehova	Jehovu
Jehovův	Jehovova
jektat	jektal
jektat	jektaly
Jelcin	Jelcina
Jelcin	Jelcinem
Jelcin	Jelcinovi
Jelcinův	Jelcinovi
Jelcinův	Jelcinovu
Jelínek	Jelínka
jemný	jemná
jemný	jemné
jemný	jemného
jemný	jemnou
jemný	jemným
Jena	Jen
Jeník	Jeníka
jenž	jehož
jenž	jejichž
jenž	jejíchž
jenž	jejíhož
jenž	jejímž
jenž	jejíž
jenž	jejž
jenž	jemuž
jenž	jež
jenž	jichž
jenž	jimiž
jenž	jimž
jenž	jímž
jenž	již
jenž	jíž
jenž	něhož
jenž	nějž
jenž	němuž
jenž	němž
jenž	něž
jenž	nichž
jenž	nimiž
jenž	nimž
jenž	nímž
jenž	niž
jenž	níž
Jeruzalém	Jeruzaléma
Jeruzalém	Jeruzalému
Jeseník	Jeseníků
Jeseník	Jeseníky
jeskyně	jeskyni
ještě	eště
ještěr	ještěrů
jet	jede
jet	jedeme
jet	jeďte
jet	jedu
jet	jel
jet	jela
jet	jeli
jet	jely
jet	pojede
jet	pojedeme
jet	pojedeš
jet	pojedou
jev	jevem
jev	jevů
jev	jevům
jev	jevy
jevišťátko	jevišťátkem
jeviště	jevišť
jeviště	jevištěm
jeviště	jevišti
jeviště	jevištích
jeviště	jevištím
jevištní	jevištních
jevištní	jevištního
jevištní	jevištními
jevištní	jevištnímu
jevit	jeví
jevit	jevil
jevit	nejevil
jezdec	jezdce
jezdec	jezdci
jezdec	jezdců
jezdecký	jezdecká
jezdit	jezdí
jezdit	jezdili
jezdívat	jezdívala
ježek	ježka
jezero	jezera
jezero	jezerem
jezero	jezeru
ježibaba	ježibaby
jezírko	jezírka
jezírko	jezírku
Ježíš	Ježíši
ježit	jež
ježit	ježily
jezuita	jezuitů
jídelna	jídelně
jídelna	jídelnou
jídelna	jídelny
jídlo	jídla
jídlo	jídle
jídlo	jídlech
jídlo	jídlu
jídlo	jídly
jih	jihu
Jihlava	Jihlavě
Jihlavsko	Jihlavsku
jihlavský	jihlavské
jihlavský	jihlavském
jihoafrický	jihoafrické
jihoafrický	jihoafrického
jihoafrický	jihoafrickém
jihoameričan	jihoameričany
jihočeský	jihočeská
jihoindický	jihoindickém
jihoitalský	jihoitalská
jihoitalský	jihoitalských
jihokorejský	jihokorejského
jihokorejský	jihokorejskému
jihokorejský	jihokorejských
jihomaďarský	jihomaďarském
jihomoravský	jihomoravská
jihomoravský	jihomoravské
jihomoravský	jihomoravského
jihomoravský	jihomoravští
jihoslovanský	jihoslovanských
jilm	jilmů
jilm	jilmy
Jim	Jime
jímavý	jímavou
jinak	nejinak
Jindřich	Jindřicha
Jindřich	Jindřichem
Jindřichov	Jindřichova
Jindřichův	Jindřichova
jinoch	jinocha
jinotajnost	jinotajnosti
jiný	jiná
jiný	jiné
jiný	jiného
jiný	jiném
jiný	jinému
jiný	jiní
jiný	jinou
jiný	jiných
jiný	jiným
jiný	jinými
Jiránková	Jiránkovou
Jiránkův	Jiránkovou
Jirásek	Jiráskem
Jiráskův	Jiráskova
Jiráskův	Jiráskově
Jiří	Jiřího
Jiří	Jiřím
Jiřík	Jiříka
Jiřík	Jiříkovi
Jiříkův	Jiříkovi
jiskra	jiskry
jiskřivý	jiskřivá
jiskrný	jiskrným
jíst	jeden
jíst	jedl
jíst	jedli
jíst	jí
jíst	jím
jíst	nejí
jistě	nejistě
jistit	jistě
jistit	jisti
jistit	nejistě
jistota	jistot
jistota	jistotou
jistota	jistotu
jistota	jistoty
jistota	nejistota
jistota	nejistotu
jistý	jist
jistý	jistá
jistý	jisté
jistý	jistého
jistý	jistém
jistý	jisti
jistý	jisto
jistý	jistou
jistý	jistých
jistý	jistým
jistý	jistými
jistý	nejistá
jistý	nejisté
jistý	nejistý
jistý	nejistým
jít	jde
jít	jdeme
jít	jdi
jít	jdou
jít	jdu
jít	nejde
jít	nepůjde
jít	nešel
jít	nešlo
jít	pojď
jít	půjde
jít	půjdeme
jít	půjdeš
jít	půjdete
jít	půjdou
jít	šel
jít	šla
jít	šli
jít	šlo
jít	šly
Jitka	Jitce
jitro	jitru
jizba	jizbě
jizba	jizby
jízda	jízdách
jízda	jízdě
jízda	jízdy
jízdárna	jízdárně
jízdný	jízdné
jizerský	jizerské
jízlivý	jízlivém
jízlivý	jízlivou
jižní	jižních
jižní	jižního
jižní	jižním
jizva	jizev
jizva	jizvy
jmenný	jmenným
jméno	jmen
jméno	jména
jméno	jménem
jméno	jménu
jméno	jmény
jmenování	jmenováním
jmenovaný	jmenovaná
jmenovaný	jmenované
jmenovaný	jmenovaným
jmenovaný	nejmenovaný
jmenovat	jmenoval
jmenovat	jmenovala
jmenovat	jmenovali
jmenovat	jmenovalo
jmenovat	jmenován
jmenovat	jmenováni
jmenovat	jmenuje
jmenovat	jmenuješ
jmenovat	jmenují
jmenovat	nejmenoval
jmenovat	nejmenovala
jmout	jat
jmout	jata
jmout	jati
Jochanaan	Jochanaana
Jochanaan	Jochanaanem
Jochanaan	Jochanaanovi
Johann	Johannem
Johanna	Johann
Johanna	Johannu
John	Johna
John	Johnem
John	Johny
Johnson	Johnsona
Jones	Jonese
Jonesův	Jonesově
jordánský	jordánská
José	Josého
José	Josém
José	Josému
Josef	Josefa
Josef	Josefovi
Josef	Josefu
Josefa	Josef
Josefa	Josefu
Josefův	Josefova
Josefův	Josefovi
Jószef	Jószefa
Jozef	Jozefa
jubileum	jubilea
jubileum	jubileem
jubileum	jubileu
Jugoslávec	Jugoslávcem
Jugoslávec	Jugoslávcích
Jugoslávec	Jugoslávců
Jugoslávec	Jugoslávcům
Jugoslávie	Jugoslávii
Jugoslávie	Jugoslávií
jugoslávský	jugoslávská
jugoslávský	jugoslávské
jugoslávský	jugoslávského
jugoslávský	jugoslávském
jugoslávský	jugoslávským
jugoslávský	jugoslávskými
Julie	Julii
Julie	Julií
Julien	Julienem
Julien	Julienovi
Juliin	Juliina
Juliin	Juliině
Juliin	Juliino
Juliin	Juliinu
Juliin	Juliiny
Juliin	Juliiných
Julio	Julia
Juliš	Juliše
Julius	Julia
Julius	Julie
Julius	Julii
Jungmannův	Jungmannovu
junior	junioři
junior	juniorů
junta	juntou
junta	juntu
junta	junty
Jurij	Jurijem
jurisdikce	jurisdikci
Just	Justa
justice	justicí
k	ke
k	ku
kabátec	kabátcích
kabátek	kabátcích
kabátek	kabátku
kabel	kabelu
kabela	kabelu
kabelizace	kabelizaci
kabelový	kabelových
kabinet	kabinetu
kabinetní	kabinetního
kabinkový	kabinková
Kábul	Kábulu
kachlíkovaný	kachlíkovanou
kachna	kachny
kachnit	kachní
kacíř	kacíře
kacíř	kacíři
kacířský	kacířská
kacířský	kacířské
kacířský	kacířskou
kacířský	kacířských
Kadijevič	Kadijeviče
Kadijevič	Kadijevičem
kádr	kádrů
kádrovácký	kádrováckých
kádrování	kádrováním
Kafka	Kafky
Kafkův	Kafkova
kahánek	kahánku
Káhira	Káhiry
kajícník	kajícníka
kajícník	kajícníky
kaktus	kaktusů
kalamář	kalamářem
Kalchas	Kalchasem
kaleidoskop	kaleidoskopů
kalendář	kalendáře
kalendář	kalendářem
kalendář	kalendáři
kalendář	kalendářů
kalhota	kalhoty
kalibr	kalibru
kalifornský	kalifornské
kalit	kalí
Kalkata	Kalkaty
kalkulace	kalkulací
kalný	kalném
kaluž	kaluže
kaluž	kaluži
kaluž	kalužích
kalý	kalí
kalý	nekalou
Kama	Kam
kamarád	kamaráde
kamarád	kamarádem
kamarád	kamarádi
kamarád	kamarádům
kamarád	kamarády
kamarádit	kamarádi
kamarádský	kamarádské
Kambodža	Kambodži
kamélie	kaméliemi
kámen	kamene
kámen	kamenech
kámen	kamenem
kámen	kameni
kámen	kamenů
kámen	kamenům
kámen	kameny
kameninový	kameninová
kamenný	kamenné
kamenný	kamenného
kamenný	kamenném
kamenný	kamennou
kamera	kamerou
kamera	kamery
kameraman	kameramana
kameramanský	kameramanských
kamión	kamionů
kamión	kamiónů
kamión	kamióny
kamkoliv	kamkoli
kamna	kamen
kampaň	kampaně
kampaň	kampani
kampaň	kampaní
kampanila	kampanilou
kamufláž	kamufláži
kanada	kanadě
Kanada	Kanadou
kanada	kanady
Kanaďan	Kanaďana
Kanaďan	Kanaďané
Kanaďan	Kanaďanů
kanadský	kanadská
kanadský	kanadské
kanadský	kanadského
kanadský	kanadském
kanadský	kanadskou
kanadský	kanadských
kanadský	kanadští
kanál	kanály
kanárský	kanárských
kancelář	kanceláře
kancelář	kanceláři
kancelář	kanceláří
kancléř	kancléře
kancóna	kancóny
kandidát	kandidáta
kandidát	kandidátech
kandidát	kandidátem
kandidát	kandidáti
kandidát	kandidátů
kandidát	kandidátům
kandidát	kandidáty
kandidátka	kandidátce
kandidátka	kandidátkách
kandidátka	kandidátkou
kandidatura	kandidaturu
kandidatura	kandidatury
kanout	kanuly
kanovnický	kanovnického
kantabilní	kantabilních
kantáta	kantát
kantáta	kantátu
kantátový	kantátová
kantiléna	kantilén
kanton	kantonů
kantor	kantora
kantor	kantorovi
kantorský	kantorského
kantorský	kantorským
kantorův	kantorově
kantorův	kantorovi
kantorův	kantorovou
kantorův	kantorovu
kapacita	kapacitě
kapacita	kapacitu
kapacita	kapacity
kapat	kapal
kapat	kapala
kapat	kape
kapela	kapel
kapela	kapelách
kapela	kapelami
kapela	kapele
kapela	kapelu
kapela	kapely
kapelnický	kapelnické
kapelník	kapelníka
kapelník	kapelníkem
kapelníkův	kapelníkova
kapitál	kapitálem
kapitál	kapitálu
kapitála	kapitál
kapitála	kapitálu
kapitalismus	kapitalismu
kapitalista	kapitalisté
kapitalista	kapitalistou
kapitalista	kapitalistů
kapitalista	kapitalisty
kapitalistický	kapitalistické
kapitalistický	kapitalistického
kapitalistický	kapitalistických
kapitalizmus	kapitalismu
kapitalizovat	kapitalizují
kapitálový	kapitálové
kapitálový	kapitálovou
kapitálový	kapitálových
kapitálový	kapitálovým
kapitán	kapitána
kapitán	kapitánem
kapitán	kapitáni
kapitánka	kapitánkou
kapitánův	kapitánovu
kapitola	kapitol
kapitola	kapitolou
kapitola	kapitoly
kapitulace	kapitulaci
kapitulovat	kapituloval
kapka	kapek
kapka	kapky
kaple	kapli
Kaposvár	Kaposváru
kapota	kapotě
kapsa	kapes
kapsa	kapse
kapsa	kapsy
Kapský	Kapské
Karabach	Karabachu
karabašský	karabašských
Karásek	Karáska
kárat	kárá
kardinál	kardinálovi
kardinál	kardinálu
kardinálův	kardinálova
kardinálův	kardinálovi
Karel	Karla
Karel	Karlem
kariéra	kariéru
kariéra	kariéry
karikatura	karikaturami
karikatura	karikaturou
karikatura	karikatury
Karla	Karel
karlínský	karlínské
Karlov	Karlova
Karlov	Karlově
Karlovec	Karlovce
Karlovka	Karlovce
Karlův	Karlova
Karlův	Karlově
Karlův	Karlových
karneval	karnevalu
karnevalový	karnevalová
karnevalový	karnevalové
karnevalový	karnevalovém
Karolina	Karoliny
Karolína	Karolíně
karolína	karolínu
Karolína	Karolíny
karolínin	karolíniny
Karolínum	Karolína
Karolínum	Karolínu
Karolínum	Karoliny
Karolínum	Karolíny
karpatoruský	karpatoruskými
karpatský	karpatských
Karpaty	Karpat
Karpov	Karpova
karta	karet
karta	kartách
karta	kartami
karta	kartu
karta	karty
kartaginský	kartaginská
kartaginský	kartaginské
kartaginský	kartaginského
kartaginský	kartaginském
kartaginský	kartaginskému
kartaginský	kartaginskou
kartaginský	kartaginských
kartaginský	kartaginským
kartaginský	kartaginskými
Kartágo	Kartága
Kartágo	Kartágu
Karviná	Karviné
karvinský	karvinské
karvinský	karvinského
kasace	kasací
kasárna	kasáren
kasárna	kasárnách
kasat	kasal
kaše	kaši
kašel	kašle
kašel	kašli
kašlat	kašle
kašlat	kašli
kašpar	kašpara
kašpar	kašparovi
Kasparov	Kasparova
kašparův	kašparovi
kašparův	kašparovy
kasta	kasty
kaštan	kaštanem
kaštan	kaštanu
kaštanový	kaštanové
kastrát	kastrátů
kastrátský	kastrátského
kát	kaj
kát	káli
kát	nekáli
katalog	katalogu
katapultovat	katapultovalo
katastr	katastru
katastrofa	katastrofám
katastrofa	katastrofě
katastrofa	katastrofu
katastrofa	katastrofy
katastrofální	katastrofálnímu
katastrofický	katastrofické
katedra	kateder
katedra	katedrou
katedrála	katedrále
kategorický	kategorickou
kategorie	kategorii
kategorie	kategorií
kategorie	kategoriích
Kateřina	Kateřiny
Katherinin	Katherinino
katolicismus	katolicismu
katolicizmus	katolicismu
katolický	katolická
katolický	katolickou
katolický	katolických
katolický	katolickými
katolík	katolíci
katolík	katolíky
Katovice	Katovicích
kaučuk	kaučuku
Kautman	Kautmana
káva	kávě
káva	kávu
káva	kávy
kavalír	kavalíra
kavalír	kavalírem
kavalír	kavalíru
kavárna	kavárně
kavárna	kavárnou
kavárna	kavárnu
kavárna	kavárny
Kavkaz	Kavkazu
kaz	kazu
kazajka	kazajku
kázat	káže
každodenní	každodenních
každodenní	každodenním
každodenní	každodennímu
každodennost	každodennosti
každoroční	každoročních
každý	každá
každý	každé
každý	každého
každý	každém
každý	každému
každý	každou
každý	každých
každý	každým
kázeň	kázně
kázeň	kázní
kazeta	kazetách
kazit	kaz
kazit	kazí
kde	kdes
kdekdo	kdekoho
kdekterý	kdekterá
kdekterý	kdekteré
kdekterý	kdekterého
kdekterý	kdekterém
kdekterý	kdekterému
kdekterý	kdekteří
kdekterý	kdekterou
kdekterý	kdekterých
kdekterý	kdekterým
kdekterý	kdekterými
kdo	kdož
kdo	koho
kdo	komu
kdo	kým
kdokoli	kdokoliv
kdokoli	komukoliv
kdokoli	kýmkoli
kdosi	kýmsi
kdyby	kdybych
kdyby	kdybychom
kdyby	kdybys
kdyby	kdybyste
kdykoliv	kdykoli
Kebič	Kebičem
kempingový	kempingové
kempinkový	kempinkového
Kent	Kentu
keř	keře
keramik	keramika
keramik	keramiky
keramika	keramiky
keřík	keříky
Khmer	Khmerové
kilo	kila
kilogram	kilogramů
kilometr	kilometru
kilometr	kilometrů
kilometr	kilometry
Kim	Kima
King	Kingem
kino	kina
kino	kině
kino	kinech
Kiplingův	Kiplingových
Kira	Kir
klábosit	klábosil
klackující	klackujícími
klad	klade
klad	kladu
kladený	kladených
kladívko	kladívka
kladivo	kladiv
kladivo	kladivem
kladný	kladná
kladný	kladné
kladný	kladném
kladný	kladnému
kladný	kladnou
kladný	kladných
klam	klame
klam	klamu
klamat	klam
klamat	klamáni
klamat	klame
klamat	klameš
klamat	klamu
klamat	neklam
klamný	klamnou
klamný	klamným
klamný	neklamné
klamný	neklamný
klan	klanu
klanět	neklaněl
klarinet	klarinetů
klasicismus	klasicismu
klasicistický	klasicistickým
klasicizující	klasicizujících
klasicizující	klasicizujícího
klasicizující	klasicizujícím
klasický	klasická
klasický	klasické
